wheelchairaccess,polling_place_name,address,premises,entrancesdesc,lat,lon,state
No wheelchair access,Renown Park,"11 Napier St, RENOWN PARK, 5008",Brompton Primary School,,-34.893794,138.581477,SA
Full wheelchair access,West Croydon,"40 Rosetta St, WEST CROYDON, 5008",West Croydon United Church,,-34.889409,138.559029,SA
Full wheelchair access,West Hindmarsh,"56 Albemarle St, WEST HINDMARSH, 5007",St Joseph's School,,-34.9038,138.563,SA
Full wheelchair access,Woodville Gardens,"18 Ridley Gr, WOODVILLE GARDENS, 5012",Woodville Gardens School B-7,,-34.86398,138.55001,SA
Full wheelchair access,Bedford Park,"Womens Health Clinic Flinders Dr, BEDFORD PARK, 5042",Flinders Medical Centre,,-35.0217,138.568,SA
Full wheelchair access,Bellevue Heights,"17-19 Vaucluse Cres, BELLEVUE HEIGHTS, 5050",Bellevue Heights Primary School,,-35.029343,138.588426,SA
Full wheelchair access,Flagstaff Hill East,"15 Murrays Hill Rd, FLAGSTAFF HILL, 5159",Craigburn Primary School,,-35.0569,138.616,SA
Assisted wheelchair access,Glenelg,"19 High St, GLENELG, 5045",St Mary's Hall,,-34.981499,138.514908,SA
Full wheelchair access,Glynde,"15 Glynburn Rd, GLYNDE, 5070",Zion Lutheran Church,,-34.891123,138.656455,SA
Full wheelchair access,Golden Grove Central,"1 Adey Pl, GOLDEN GROVE, 5125",Golden Grove High School,Dame Roma Mitchell Centre,-34.79381,138.69623,SA
Assisted wheelchair access,Blackwood,"72 Coromandel Pde, BLACKWOOD, 5051",Blackwood Hills Baptist Church,via Garnet Ave,-35.0294,138.62,SA
Full wheelchair access,Blackwood Central,"367 Shepherds Hill Rd, BLACKWOOD, 5051",Blackwood Church of Christ Hall,Cnr Waite St,-35.0209,138.615,SA
Assisted wheelchair access,Coromandel Valley,"339 Main Rd, COROMANDEL VALLEY, 5051",Coromandel Valley Primary School,,-35.033158,138.62523,SA
Full wheelchair access,Eden Hills,"4 Seymour St, EDEN HILLS, 5050",Blackwood Primary School,,-35.025151,138.607004,SA
Full wheelchair access,Flagstaff Hill,"145 Black Rd, FLAGSTAFF HILL, 5159",Flagstaff Hill R-7 School,,-35.0493,138.588,SA
Full wheelchair access,Flagstaff Hill East,"15 Murrays Hill Rd, FLAGSTAFF HILL, 5159",Craigburn Primary School,,-35.0569,138.616,SA
Full wheelchair access,Hawthorndene,"28A Suffolk Rd, HAWTHORNDENE, 5051",Hawthorndene Primary School,,-35.0203,138.636,SA
Full wheelchair access,St Peters,"44a Fourth Ave, ST PETERS, 5069",Spicer Uniting Church,,-34.906927,138.623486,SA
Assisted wheelchair access,Kensington,"54 Dankel Ave, KENSINGTON, 5068",Marryatville Primary School,,-34.92491,138.6494,SA
Full wheelchair access,Kent Town,"27 Grenfell St, KENT TOWN, 5067",Wesley Uniting Church,via Fullarton Rd,-34.91925,138.62267,SA
Full wheelchair access,Marden,"1-37 Marden Rd, MARDEN, 5070",Marden Education Centre,,-34.89164,138.634664,SA
Full wheelchair access,Maylands,"17a Augusta St, MAYLANDS, 5069",New Life Christian Community Church,via Dover St,-34.91259,138.635907,SA
Full wheelchair access,Norwood,"53 George St, NORWOOD, 5067",Salvation Army,,-34.921807,138.636585,SA
Full wheelchair access,Norwood West,"37 Osmond Tce, NORWOOD, 5067",Norwood Primary School,,-34.918862,138.631653,SA
Full wheelchair access,St Morris,"40 Third Ave, ST MORRIS, 5068",Adelaide Korean Church Hall,via Gardiner Ave,-34.911364,138.655594,SA
Full wheelchair access,St Peters East,"57-59 Second Ave, ST PETERS, 5069",East Adelaide Primary School,,-34.905343,138.6277,SA
Full wheelchair access,Trinity Gardens,"160 Portrush Rd, TRINITY GARDENS, 5068",Trinity Gardens School,,-34.90884,138.64048,SA
Full wheelchair access,Joslin,"95 Fourth Ave, JOSLIN, 5069",College Park Scout Hall,,-34.90159,138.628389,SA
Assisted wheelchair access,Goodwood,"140 Goodwood Rd, GOODWOOD, 5034",Goodwood Primary School,,-34.9515,138.589,SA
Assisted wheelchair access,Vale Park,"40-56 Ascot Ave, VALE PARK, 5081",Vale Park Primary School,,-34.88542,138.62594,SA
Full wheelchair access,Ascot Park,"27A Charles St, ASCOT PARK, 5043",Active Elders Association,via Albert St,-34.990835,138.562874,SA
Full wheelchair access,Daw Park,"560 Goodwood Rd, DAW PARK, 5041",Colonel Light Gardens Uniting Church Hall,via Aver Ave playground entrance,-34.980878,138.591655,SA
Full wheelchair access,Edwardstown,"24 Towers Tce, EDWARDSTOWN, 5039",South Point Church of Christ,,-34.97453,138.56483,SA
Full wheelchair access,Marion,"2-22 Malcolm Ave, MARION, 5043",Marion Primary School,via Oakleigh Rd,-35.0042,138.556,SA
Full wheelchair access,Marion South,"9-11 Township Rd, MARION, 5043",Marion Uniting Church,,-35.010999,138.555484,SA
Assisted wheelchair access,Melrose Park,"125 Edward St, MELROSE PARK, 5039",Edwardstown Primary School,via Maria St,-34.978459,138.579122,SA
Assisted wheelchair access,Mitchell Park,"Gate 3 / 815 Marion Rd, MITCHELL PARK, 5043",Hamilton Secondary College,Access only via Gate 3,-34.9979,138.558,SA
Full wheelchair access,Mitchell Park South,"21 McInerney Ave, MITCHELL PARK, 5043",Suneden Special School,,-35.014832,138.561411,SA
Assisted wheelchair access,Park Holme,"80 Hendrie St, PARK HOLME, 5043",Springpark Baptist Church,via Condada Ave,-34.989145,138.547506,SA
Assisted wheelchair access,Park Holme South,"1-37 Pildappa Ave, PARK HOLME, 5043",Ascot Park Primary School,Gymnasium,-34.9905,138.556,SA
Full wheelchair access,South Plympton,"80 Thomas St, SOUTH PLYMPTON, 5038",Forbes Primary School,,-34.9781,138.558,SA
Full wheelchair access,Warradale,"2-16 Keynes Ave, WARRADALE, 5046",Warradale Primary School,,-35.00332,138.53745,SA
Full wheelchair access,Blair Athol North,"5 Marmion Ave, BLAIR ATHOL, 5084",Blair Athol North School B-7,,-34.853055,138.599478,SA
Full wheelchair access,Broadview,"61 Galway Ave, BROADVIEW, 5083",Broadview Uniting Church,via Collingrove Ave,-34.880086,138.614978,SA
Assisted wheelchair access,Clearview,"59 Fairview Tce, CLEARVIEW, 5085",The Good Shepherd Community Centre,,-34.8529,138.61,SA
Assisted wheelchair access,Blair Athol,"44 Audrey Ave, BLAIR ATHOL, 5084",St Paul Lutheran Church Hall,,-34.861592,138.599201,SA
Full wheelchair access,Hampstead Gardens,"28 Gambia Ave, HAMPSTEAD GARDENS, 5086",Church of Christ Hampstead Gardens,,-34.873251,138.625872,SA
Assisted wheelchair access,Hackham,"72 Collins Pde, HACKHAM, 5163",Hackham East Primary School,,-35.1394,138.534,SA
Assisted wheelchair access,Enfield,"Clarice Ave, ENFIELD, 5085",Enfield Primary School,via Harewood Ave,-34.865503,138.602545,SA
Assisted wheelchair access,Kilburn,"43-45 Le Hunte St, KILBURN, 5084",St Brigid's Parish Hall,,-34.862254,138.588167,SA
Full wheelchair access,Mansfield Park,"33A Dudley St, MANSFIELD PARK, 5012",St Patricks School,,-34.8544,138.551,SA
Assisted wheelchair access,Nailsworth,"2 Balfour St, NAILSWORTH, 5083",Nailsworth Primary School,,-34.8825,138.604,SA
Assisted wheelchair access,American River,"Ryberg Rd, AMERICAN RIVER, 5221",American River Community Hall,,-35.7864,137.772,SA
Assisted wheelchair access,Cape Jervis,"17 Ransford St, CAPE JERVIS, 5204",Cape Jervis Community Recreation & Sporting Club,,-35.6044,138.108,SA
Full wheelchair access,Kingscote,"5 Centenary Ave, KINGSCOTE, 5223",Kingscote Area School,,-35.6512,137.633,SA
Full wheelchair access,Middleton,"1 Walker Pl, MIDDLETON, 5213",Middleton Pioneer Hall,,-35.5082,138.706,SA
Assisted wheelchair access,Mount Compass,"School Rd, MOUNT COMPASS, 5210",Mount Compass Area School Trade Training Centre,,-35.3506,138.621,SA
Assisted wheelchair access,Myponga,"Hutchinson St, MYPONGA, 5202",Myponga Primary School,The Shed via Oval Rd Carpark,-35.3932,138.465,SA
Assisted wheelchair access,Enfield South,"496 Regency Rd, ENFIELD, 5085",Our Lady of the Sacred Heart College,,-34.8731,138.604,SA
Full wheelchair access,Regency Park,"171 Days Rd, REGENCY PARK, 5010",Novita Children's Services,,-34.869967,138.566169,SA
Assisted wheelchair access,Hackham West,"50 Glynville Dr, HACKHAM WEST, 5163",Hackham West R-7 School,,-35.143426,138.516767,SA
Full wheelchair access,Happy Valley,"18 Education Rd, HAPPY VALLEY, 5159",Happy Valley Primary School,,-35.0868,138.584,SA
Full wheelchair access,Happy Valley West,"1A Montana Dr, HAPPY VALLEY, 5159",Braeview Primary School,,-35.0803,138.554,SA
Full wheelchair access,Happy Valley West,"1A Montana Dr, HAPPY VALLEY, 5159",Braeview Primary School,,-35.0803,138.554,SA
Assisted wheelchair access,Parawa,"1541 Range Rd, PARAWA, 5203",Parawa Recreation Centre,,-35.56163,138.354682,SA
Assisted wheelchair access,Parndana,"8B Jubilee Ave, PARNDANA, 5220",Parndana Community Centre,,-35.788012,137.260781,SA
Full wheelchair access,Penneshaw,"Howard Dr, PENNESHAW, 5222",Kangaroo Island Community Education (Penneshaw Campus),,-35.720175,137.931801,SA
Full wheelchair access,Port Elliot,"4 Cameron St, PORT ELLIOT, 5212",Port Elliot Primary School,,-35.523793,138.677173,SA
Assisted wheelchair access,Second Valley,"Cnr Main South Rd & Finniss Vale Dr, SECOND VALLEY, 5204",Second Valley Soldiers Memorial Institute,,-35.527805,138.227548,SA
No wheelchair access,Sellicks Beach,"Riviera Dr, SELLICKS BEACH, 5174",Sellicks Beach Community Hall,,-35.324679,138.455381,SA
Full wheelchair access,Victor Harbor,"12 Coral St, VICTOR HARBOR, 5211",Victor Harbor Town Hall,,-35.554009,138.622179,SA
Full wheelchair access,Victor Harbor East,"64 Adelaide Rd, VICTOR HARBOR, 5211",Encounter Lutheran College - Kondole Centre,,-35.5278,138.637,SA
Full wheelchair access,Victor Harbor South,"5 George Main Rd, VICTOR HARBOR, 5211",Victor Harbor Recreation Centre,,-35.556144,138.611197,SA
Assisted wheelchair access,Yankalilla,"207 Main Rd, YANKALILLA, 5203",Yankalilla Area School Jubilee Hall,,-35.4534,138.334,SA
Full wheelchair access,Aberfoyle Park,"36A Taylors Rd East, ABERFOYLE PARK, 5159",Aberfoyle Park High School,,-35.0742,138.594,SA
Full wheelchair access,Aberfoyle Park Central,"2 Campus Dr, ABERFOYLE PARK, 5159",Aberfoyle Park Primary School Campus,Drama Hall via London Rd,-35.067016,138.595504,SA
Full wheelchair access,Aberfoyle Park North,"70 Manning Rd, ABERFOYLE PARK, 5159",Aberfoyle Park Baptist Church Hall,via Lyn St,-35.059308,138.599371,SA
Full wheelchair access,Aberfoyle Park South,"29 Jeanette Cres, ABERFOYLE PARK, 5159",Aberfoyle Hub Primary School,,-35.078519,138.594674,SA
Full wheelchair access,Cherry Gardens,"312 Cherry Gardens Rd, CHERRY GARDENS, 5157",Cherry Gardens Memorial Hall,,-35.0635,138.65358,SA
Assisted wheelchair access,Clarendon,"Potter Rd, CLARENDON, 5157",Clarendon Primary School,,-35.110292,138.632097,SA
Full wheelchair access,Happy Valley,"18 Education Rd, HAPPY VALLEY, 5159",Happy Valley Primary School,,-35.0868,138.584,SA
Full wheelchair access,Happy Valley West,"1A Montana Dr, HAPPY VALLEY, 5159",Braeview Primary School,,-35.0803,138.554,SA
Full wheelchair access,Reynella East,"63 Malbeck Dr, REYNELLA EAST, 5161",Reynella East College,"Gates 3,4 and 5 from Malbeck Dr",-35.09086,138.55491,SA
Full wheelchair access,Arno Bay,"21-23 Tel El Kebir Tce, ARNO BAY, 5603",Arno Bay Memorial Hall,,-33.911085,136.56762,SA
Full wheelchair access,Ceduna,"South Tce, CEDUNA, 5690",Ceduna and Districts Bowling Club,,-32.127414,133.674097,SA
Full wheelchair access,Cleve,"Second St, CLEVE, 5640",Cleve Area School,,-33.70005,136.497093,SA
Full wheelchair access,Coffin Bay,"The Esplanade, COFFIN BAY, 5607",Coffin Bay Community Hall,,-34.6218,135.465981,SA
Full wheelchair access,Cowell,"8 Main St, COWELL, 5602",Franklin Harbour Institute,,-33.684279,136.926256,SA
Full wheelchair access,Cummins,"McFarlane St, CUMMINS, 5631",Cummins Area School,,-34.263971,135.722475,SA
Assisted wheelchair access,Darke Peak,"Cnr Carrapee Hill & Balumbah-Kinnard Rds, DARKE PEAK, 5642",Darke Peak Sporting Complex,,-33.4646,136.199,SA
Full wheelchair access,Elliston,"Flinders Hwy, ELLISTON, 5670",Elliston Area School,,-33.644499,134.891352,SA
Full wheelchair access,Karkoo,"7 Archie Griffiths Rd, KARKOO, 5607",Karkoo Kooplex,,-34.03186,135.73046,SA
Full wheelchair access,Kirton Point,"47 Matthew Pl, PORT LINCOLN, 5606",Kirton Point Primary School,,-34.7318,135.869,SA
Full wheelchair access,Lock,"West Tce, LOCK, 5633",Lock Area School,,-33.568293,135.753898,SA
Assisted wheelchair access,Minnipa,"24 Thomas St, MINNIPA, 5654",Minnipa Memorial Hall,,-32.853957,135.154872,SA
Assisted wheelchair access,North Shields,"25 Dorward St, NORTH SHIELDS, 5607",North Shields Community Hall,,-34.6262,135.866,SA
Assisted wheelchair access,Poochera,"27 Main St, POOCHERA, 5655",Poochera Community District Hall,,-32.721047,134.839111,SA
Full wheelchair access,Port Kenny,"Flinders Hwy, PORT KENNY, 5671",Port Kenny & District Sports Centre,,-33.167267,134.684721,SA
