lon,lat,wheelchairaccess,polling_place_type,premises,address,polling_place_name,state
145.007,-37.7773,Assisted wheelchair access,Public School,Westgarth Primary School,"Westgarth Primary School, 311 Clarke St, NORTHCOTE, VIC 3070",Northcote South,VIC
144.995,-37.7036,Assisted wheelchair access,Private School,St Joseph the Worker Primary School Hall,"St Joseph the Worker Primary School Hall, 79 Wilson Blvd, RESERVOIR, VIC 3073",Ruthven,VIC
144.99,-37.7487,Assisted wheelchair access,Public School,Bell Primary School,"Bell Primary School, Scotia St, PRESTON, VIC 3072",Bell,VIC
144.997,-37.7551,Assisted wheelchair access,Public School,Thornbury Primary School,"Thornbury Primary School, Hutton Street, THORNBURY, VIC 3071",Thornbury,VIC
145.01,-37.7306,Assisted wheelchair access,Public School,Preston Primary School,"Preston Primary School, Tyler St, PRESTON, VIC 3072",Regent,VIC
145.007,-37.7115,Assisted wheelchair access,,Reservoir Primary School,"Reservoir Primary School, Duffy St, RESERVOIR, VIC 3073",Reservoir,VIC
145.038,-37.7157,Assisted wheelchair access,,Kingsbury Primary School,"Kingsbury Primary School, Maryborough Ave, KINGSBURY, VIC 3083",Kingsbury,VIC
144.994,-37.7683,Assisted wheelchair access,,Batman Park Hall,"Batman Park Hall, Arthurton Rd, NORTHCOTE, VIC 3070",Croxton,VIC
145.021,-37.7783,Assisted wheelchair access,Public School,Fairfield Primary School,"Fairfield Primary School, Langridge St, FAIRFIELD, VIC 3078",Fairfield,VIC
145.004,-37.7448,Assisted wheelchair access,,Sacred Heart Catholic School,"Sacred Heart Catholic School, 1 Clifton Gr, PRESTON, VIC 3072",Preston,VIC
145.024,-37.7724,Assisted wheelchair access,Child Care Centre,Perry Street Child Care Centre,"Perry Street Child Care Centre, cnr Perry & Separation Sts, FAIRFIELD, VIC 3078",Alphington North,VIC
145.062,-37.7072,Assisted wheelchair access,Public School,Bundoora Secondary College,"Bundoora Secondary College, Balmoral Avenue, BUNDOORA, VIC 3083",Bundoora (Jagajaga),VIC
145.043,-37.6949,Assisted wheelchair access,,Norris Bank Primary School,"Norris Bank Primary School, 146 Settlement Rd, BUNDOORA, VIC 3083",Norris Bank (Scullin),VIC
144.9813,-37.73607,Assisted wheelchair access,Senior Citizens Centre,Newlands Senior Citizens Centre,"Newlands Senior Citizens Centre, Cnr Murray Road & Connolly Avenue, COBURG, VIC 3058",Murray (Wills),VIC
144.985,-37.7299,Assisted wheelchair access,Public School,Newlands Primary School,"Newlands Primary School, Elizabeth St, COBURG NORTH, VIC 3058",Newlands (Wills),VIC
144.997733,-37.774511,Wheelchair accessible,,Northcote Town Hall,"Northcote Town Hall, 189 High Street, NORTHCOTE, VIC, 3070",Town Hall,VIC
