division,polling_place_name,address,extra_info,lon,lat,state
FERNY GROVE,Keperra South,"Baptist Church Hall, 980 Samford Road, KEPERRA",Full Wheelchair Access,152.955469,-27.414922,QLD
OODGEROO,Amity Point,"Amity Point Community Club, Claytons Road, AMITY POINT",Full Wheelchair Access,153.442056,-27.39831,QLD
"MACALISTER, WATERFORD",Bethania,"Community Centre, 88-118 Station Road, BETHANIA",Full Wheelchair Access,153.157246,-27.686183,QLD
BANCROFT,Moreton Downs,"Moreton Downs State School, Parsons Boulevard, DECEPTION BAY",Full Wheelchair Access,153.016444,-27.199379,QLD
BURDEKIN,Brandon,"Brandon State School, 2-20 Drysdale Street, BRANDON",Assisted Wheelchair Access,147.348719,-19.553239,QLD
"TOOWOOMBA NORTH, TOOWOOMBA SOUTH",Newtown,"Newtown State School, Albert Street, TOOWOOMBA",Full Wheelchair Access,151.93528,-27.558951,QLD
MAROOCHYDORE,Mudjimba,"Community Hall, 41 Cottonwood Street, MUDJIMBA",Assisted Wheelchair Access,153.096104,-26.618768,QLD
"BONNEY, SOUTHPORT",Southport West,"Baptist Church, Cnr Nerang & Eugaree Streets, SOUTHPORT",Full Wheelchair Access,153.403317,-27.973899,QLD
CLAYFIELD,Clayfield East,"Bar-Jai Community Centre, 178 Alexandra Road, CLAYFIELD",Full Wheelchair Access,153.058262,-27.418962,QLD
MILLER,Ekibin,"St Lukes Hall, 193 Ekibin Road East, ANNERLEY",Full Wheelchair Access,153.038317,-27.515967,QLD
COOMERA,Ormeau,"Ormeau State School, Mirambeena Drive, PIMPAMA",Assisted Wheelchair Access,153.276575,-27.800367,QLD
GLASS HOUSE,Upper Caboolture,"Farmers Assembly Hall, 704 Caboolture River Road, UPPER CABOOLTURE",Assisted Wheelchair Access,152.886209,-27.117701,QLD
MULGRAVE,McDonnell Creek,"McDonnell Creek State School, 69273 Bruce Highway, FISHERY FALLS",Assisted Wheelchair Access,145.89715,-17.196852,QLD
PINE RIVERS,Samford,"Samford Rangers Football Club, 2149 Mount Samford Road, SAMFORD",Full Wheelchair Access,152.88559,-27.357617,QLD
GLASS HOUSE,Peachester,"Peachester Community Hall, 958 Peachester Road, PEACHESTER",,152.883056,-26.843889,QLD
MUDGEERABA,Springbrook,"Springbrook State School, 2327 Springbrook Road, SPRINGBROOK",Assisted Wheelchair Access,153.264964,-28.189951,QLD
IPSWICH WEST,Pine Mountain Hall,"Public Hall, 840 Pine Mountain Road, PINE MOUNTAIN",,152.711383,-27.543827,QLD
NICKLIN,Nambour West,"Nambour Heights Bowls Club, 54 Isabella Avenue, NAMBOUR",Assisted Wheelchair Access,152.93995,-26.624225,QLD
CHATSWORTH,Carina Central,"Carina And Districts Senior Citizens Centre, 1 Edmond Street, CARINA",Full Wheelchair Access,153.091709,-27.493004,QLD
"GLASS HOUSE, NICKLIN",Palmwoods,"Palmwoods State School, 111 Palmwoods-Montville Road, PALMWOODS",Full Wheelchair Access,152.947143,-26.693655,QLD
"CLAYFIELD, STAFFORD",Grange,"Wilston Scout Hall, 72 Selheim Street, GRANGE",Full Wheelchair Access,153.018265,-27.424957,QLD
"GAVEN, MUDGEERABA, THEODORE",Nerang West,"Nerang State High School, Weedons Road, NERANG",Assisted Wheelchair Access,153.328885,-28.00006,QLD
"LOGAN, SCENIC RIM",Yarrabilba,"St Clare's Catholic Primary School, 2 Combs Street, Yarrabilba",,153.109487,-27.805435,QLD
MIRANI,Alton Downs,"Hall, 1569 Ridgelands Road, ALTON DOWNS",Full Wheelchair Access,150.356085,-23.302863,QLD
COOK,Horn Island,"Tagai State College, Narupay Ngurpay Mudh, HORN ISLAND",,142.251105,-10.593437,QLD
SOUTHERN DOWNS,Warwick South,"Warwick Blue Care, Cnr Wallace Street & Law Road, WARWICK",Full Wheelchair Access,152.017224,-28.230491,QLD
LOCKYER,Flagstone Creek,"Flagstone Creek State School, 56 Flagstone School Road, FLAGSTONE CREEK",Assisted Wheelchair Access,152.114768,-27.615168,QLD
MIRANI,Ridgelands,"Ridgelands State School, 43 Dalma Ridgelands Road, RIDGELANDS",,150.280448,-23.249853,QLD
MARYBOROUGH,Howard,"Burrum District Community Centre, Steley Street, HOWARD",Full Wheelchair Access,152.562686,-25.318532,QLD
CALLIDE,Miles,"Miles State High School, Pine Street, MILES",Full Wheelchair Access,150.184994,-26.653155,QLD
GREGORY,Tambo,"Tambo State School, 16 Mitchell Street, TAMBO",Full Wheelchair Access,146.253586,-24.88477,QLD
"COOPER, FERNY GROVE",Dorrington,"Oakleigh State School, Buxton Street, ASHGROVE",Full Wheelchair Access,152.985657,-27.435917,QLD
NANANGO,Kingaroy,"Kingaroy State High School, Toomey Street, Kingaroy",,151.831484,-26.542889,QLD
SOUTHERN DOWNS,Inglewood,"Civic Centre, Elizabeth Street, INGLEWOOD",Full Wheelchair Access,151.0819,-28.414222,QLD
GREGORY,Boulia,"Boulia State School, Templeton Street, BOULIA",,139.911088,-22.908228,QLD
"BUNDABERG, BURNETT",Bundaberg East,"Bundaberg East State School, 33 Scotland Street, BUNDABERG EAST",Full Wheelchair Access,152.373055,-24.861659,QLD
TOWNSVILLE,Railway Estate,"Railway Estate State School, 39 Railway Avenue, RAILWAY ESTATE",Assisted Wheelchair Access,146.816145,-19.274154,QLD
All Districts,Townsville All-Districts Centre,"Hyde Park Centre, 36 Woolcock Street, Hyde Park",Assisted Wheelchair Access,146.794301,-19.271983,QLD
"GAVEN, THEODORE",Pacific Pines,"Pacific Pines Primary School, Santa Isobel Boulevard, PACIFIC PINES",Full Wheelchair Access,153.319722,-27.939444,QLD
REDCLIFFE,Kippa-Ring,"Kippa-Ring State School Hall, Korsch Street, KIPPA-RING",,153.08741,-27.229814,QLD
BURNETT,Givelda,"Givelda State School, 754 Pine Creek Road, GIVELDA",Full Wheelchair Access,152.149213,-24.987381,QLD
"COOMERA, MACALISTER",Windaroo,"Windaroo State School, 300 Mt Warren Boulevard, MOUNT WARREN PARK",Full Wheelchair Access,153.196227,-27.732816,QLD
BURDEKIN,Osborne,"Osborne State School, Cnr Home Hill-Kirknie Rd & Osborne Rd, HOME HILL (UP RIVER)",Full Wheelchair Access,147.346449,-19.700698,QLD
TOWNSVILLE,Arcadia,"Magnetic Island Bowls Club, 18 Marine Parade, ARCADIA",Assisted Wheelchair Access,146.863609,-19.151026,QLD
MURRUMBA,Griffin,"Griffin State School, 19 Wesley Road, Griffin",Full Wheelchair Access,153.023865,-27.256623,QLD
KEPPEL,Byfield,"Byfield State School, 2233 Byfield Road, BYFIELD",,150.645956,-22.841471,QLD
All Districts,Hervey Bay All-Districts Centre,"82 Dayman Street, Urangan",Full Wheelchair Access,152.898735,-25.288095,QLD
WARREGO,Wyandra,"Wyandra State School, Moody Street, WYANDRA",,145.977718,-27.245187,QLD
HINCHINBROOK,Lucinda,"Coast Guard Building, 19 Patterson Parade, LUCINDA",Assisted Wheelchair Access,146.3345,-18.530124,QLD
"BUNDAMBA, JORDAN",Gailes,"Karate Hall, 83 Old Logan Road, GAILES",Assisted Wheelchair Access,152.91582,-27.612922,QLD
GLADSTONE,Boyne Island,"Mt Larcom Room Community Centre, Cnr Wyndham and Hayes Avenue, BOYNE ISLAND",Full Wheelchair Access,151.353734,-23.945846,QLD
"MURRUMBA, REDCLIFFE",Redcliffe TAFE,"Redcliffe TAFE, 64-68 Klingner Road, REDCLIFFE",Assisted Wheelchair Access,153.109044,-27.221467,QLD
"SOUTHPORT, SURFERS PARADISE",Evandale,"Gold Coast City Council Chambers, Bundall Road, Bundall",Full Wheelchair Access,153.416529,-28.002152,QLD
COOK,Biboohra,"Biboohra State School, Petersen Street, BIBOOHRA",Full Wheelchair Access,145.418715,-16.916205,QLD
TOOWOOMBA NORTH,Rockville,"Rockville State School, 3 Holberton Street, NORTH TOOWOOMBA",Assisted Wheelchair Access,151.936004,-27.531026,QLD
WHITSUNDAY,Bloomsbury,"Bloomsbury State School, 8545 Bruce Highway, BLOOMSBURY",,148.595281,-20.702671,QLD
"WATERFORD, WOODRIDGE",Woodridge East,"St Pauls School, 3 St Pauls Dr (off Jean St), WOODRIDGE",Assisted Wheelchair Access,153.110629,-27.635225,QLD
PUMICESTONE,Bellara,"Bribie Island Volunteer Marine Rescue, 4 Marine Parade, BELLARA",Assisted Wheelchair Access,153.144283,-27.062992,QLD
GLASS HOUSE,Montville,"St Marys Hall, Memorial Close, Montville",Full Wheelchair Access,152.8925,-26.688056,QLD
All Districts,Noosa All-Districts Centre,"Tewantin Campus, 24 Cooroy Noosa Road, TEWANTIN",Drive Through,153.024581,-26.395548,QLD
"THURINGOWA, TOWNSVILLE",Mount Louisa,"Mount Louisa House of Praise, Cnr Bayswater Rd & Mather Street, MOUNT LOUISA",Assisted Wheelchair Access,146.747571,-19.271063,QLD
"BANCROFT, KURWONGBAH, MORAYFIELD",Burpengary North,"Burpengary Community Complex, 111 Station Road, BURPENGARY",Assisted Wheelchair Access,152.96711,-27.155317,QLD
MOUNT OMMANEY,Seventeen Mile Rocks,"iSee Church, 308 Seventeen Mile Rocks Road, SEVENTEEN MILE ROCKS",Assisted Wheelchair Access,152.957556,-27.549937,QLD
"OODGEROO, REDLANDS",Thornlands,"Thornlands State School, South Street, THORNLANDS",Assisted Wheelchair Access,153.263333,-27.548333,QLD
BURDEKIN,Nome,"Bush Fire Brigade Hall, 2 Alligator Creek Road, NOME",Assisted Wheelchair Access,146.953012,-19.38838,QLD
BANCROFT,Burpengary East,"Artisans Guild, Cnr Old Bay & Maitland Roads, BURPENGARY EAST",Assisted Wheelchair Access,152.990016,-27.15778,QLD
"KEPPEL, ROCKHAMPTON",Glenmore,"Glenmore State High School, Farm Street, KAWANA",Full Wheelchair Access,150.514094,-23.336871,QLD
TRAEGER,Hughenden,"Hughenden RSL Hall, 17 Flinders Street, HUGHENDEN",Full Wheelchair Access,144.203061,-20.843562,QLD
"BUDERIM, CALOUNDRA, KAWANA",Kawana Waters,"Kawana Waters State College - Innovation Hall, Sportsmans Parade, BOKARINA",Full Wheelchair Access,153.125746,-26.737064,QLD
"CHATSWORTH, LYTTON",Gumdale,"Gumdale State School, 677 New Cleveland Road (access via Tilley Road), GUMDALE",Assisted Wheelchair Access,153.152257,-27.491617,QLD
HILL,Atherton,"Merriland Hall, Robert Street, ATHERTON",Full Wheelchair Access,145.482758,-17.268714,QLD
"CLAYFIELD, STAFFORD",Windsor,"Windsor State School, Harris Street, WINDSOR",,153.029637,-27.43078,QLD
"ALGESTER, STRETTON",Stretton,"Stretton State College, 226 Illaweena Street, STRETTON",Full Wheelchair Access,153.056112,-27.639491,QLD
"IPSWICH, IPSWICH WEST",Sadliers Crossing,"Blair State School Hall, Cribb Street, SADLIERS CROSSING",Full Wheelchair Access,152.748671,-27.612278,QLD
"CALOUNDRA, KAWANA",Currimundi West,"Talara Primary College - Performance Centre, 24 Talara Street, CURRIMUNDI",Full Wheelchair Access,153.116924,-26.772417,QLD
GREGORY,Barcaldine,"Barcaldine State School, Gidyea Street, Barcaldine",,145.294822,-23.558834,QLD
"MILLER, SOUTH BRISBANE",Annerley,"Junction Park State School Hall, 50 Waldheim Street, ANNERLEY",Full Wheelchair Access,153.035436,-27.509718,QLD
BURNETT,Bucca,"Hall, 28 Longs Road, BUCCA",Full Wheelchair Access,152.09404,-24.862833,QLD
"MERMAID BEACH, SURFERS PARADISE",Robina North,"St Vincents Primary School, Fairway Drive, CLEAR ISLAND WATERS",Full Wheelchair Access,153.403242,-28.03549,QLD
"WATERFORD, WOODRIDGE",Woodridge,"Woodridge State High School, Wembley Road, WOODRIDGE",,153.099364,-27.643143,QLD
CAPALABA,Hilliard,"Hilliard State School Hall, Hanover Drive, ALEXANDRA HILLS",Assisted Wheelchair Access,153.230768,-27.542219,QLD
SCENIC RIM,Mount Alford,"Mount Alford State School, 942 Recumpilla Street, MOUNT ALFORD",Full Wheelchair Access,152.594551,-28.067914,QLD
"KEPPEL, ROCKHAMPTON",Mount Archer,"Mount Archer State School, Thozet Road, KOONGAL",Full Wheelchair Access,150.545834,-23.358952,QLD
MANSFIELD,MacKenzie,"Mackenzie State School, 950 Mt Gravatt-Capalaba Road (access via Vivaldi Pl), MACKENZIE",,153.124394,-27.546186,QLD
LOCKYER,Minden,"Minden State School, 1032 Lowood-Minden Road, MINDEN",Full Wheelchair Access,152.543211,-27.554574,QLD
CURRUMBIN,Currumbin,"Currumbin State School, Phillip Street, CURRUMBIN",Assisted Wheelchair Access,153.477786,-28.138477,QLD
BURDEKIN,Queens Beach,"Queens Beach State School, 39 Tracey Street, QUEENS BEACH",Assisted Wheelchair Access,148.226826,-19.976308,QLD
"BUNDAMBA, JORDAN",Redbank Plains High,"Redbank Plains State High School, Performing Arts Hall, Willow Road, REDBANK PLAINS",Full Wheelchair Access,152.869332,-27.652388,QLD
"BARRON RIVER, CAIRNS, MULGRAVE",Edge Hill,"Edge Hill State School, 254 Pease Street, EDGE HILL",Full Wheelchair Access,145.742807,-16.906409,QLD
"GLASS HOUSE, PINE RIVERS",Dayboro,"Dayboro State School, 58 Mckenzie Street, DAYBORO",Full Wheelchair Access,152.820269,-27.194144,QLD
MOUNT OMMANEY,Middle Park,"Middle Park State School, MacFarlane Street, MIDDLE PARK",Full Wheelchair Access,152.918537,-27.559976,QLD
HILL,Feluga,"Feluga State School, Feluga Road, FELUGA",Full Wheelchair Access,145.965034,-17.880593,QLD
WARREGO,Surat,"Surat State School, 55 Robert Street, SURAT",Assisted Wheelchair Access,149.066883,-27.154591,QLD
"CONDAMINE, TOOWOOMBA NORTH",Harlaxton,"Harlaxton State School, 110 Ruthven Street, TOOWOOMBA",Assisted Wheelchair Access,151.954731,-27.540074,QLD
GYMPIE,Veteran,"Hall, 594 Sandy Creek Road, VETERAN",Full Wheelchair Access,152.701523,-26.135357,QLD
"IPSWICH WEST, SCENIC RIM",Grandchester,"Grandchester State School, School Road, GRANDCHESTER",Full Wheelchair Access,152.465279,-27.666121,QLD
"CALOUNDRA, KAWANA",Caloundra,"CCSA Hall, 1 Nutley Street, CALOUNDRA",Assisted Wheelchair Access,153.129637,-26.802833,QLD
"GAVEN, MUDGEERABA",William Duncan,"William Duncan State School, Explorers Way, HIGHLAND PARK",Full Wheelchair Access,153.3339,-28.013261,QLD
CALLIDE,Wallaville,"Wallaville State School, 7 Grey Street, WALLAVILLE",Full Wheelchair Access,151.997354,-25.073426,QLD
"CAPALABA, SPRINGWOOD",Capalaba,"Capalaba State College Junior Campus, 150 Mt Cotton Road, CAPALABA",Assisted Wheelchair Access,153.190275,-27.536178,QLD
COOK,Mareeba West,"Mareeba State High School, Jasper Street, MAREEBA WEST",Full Wheelchair Access,145.416551,-16.995432,QLD
All Districts,Morayfield All-Districts Centre,"379 Morayfield Road, Morayfield",Full Wheelchair Access,152.956648,-27.120692,QLD
"GLASS HOUSE, NICKLIN",Eudlo,"Public Hall, 19 Rosebed Street, EUDLO",Full Wheelchair Access,152.958427,-26.725918,QLD
WHITSUNDAY,Hamilton Island,"Ketch and Cutter Rooms, Yacht Club, Front Street, HAMILTON ISLAND",Assisted Wheelchair Access,148.947669,-20.34518,QLD
BURNETT,Bororen,"Bororen State School, 1 Kent Street, BOROREN",Assisted Wheelchair Access,151.491423,-24.244323,QLD
TOOHEY,Moorooka West,"St Brendans Church Hall, 27 Hawtree Street, MOOROOKA",Assisted Wheelchair Access,153.018974,-27.538032,QLD
NUDGEE,Banyo East,"Earnshaw State College, Cnr Earnshaw and Tufnell Roads, NUDGEE",Full Wheelchair Access,153.081467,-27.378269,QLD
CONDAMINE,Wyreema,"Wyreema State School, 12 High Street, WYREEMA",Full Wheelchair Access,151.855079,-27.658638,QLD
BURNETT,Oakwood,"Oakwood State School, Oakwood School Road, OAKWOOD",Full Wheelchair Access,152.300956,-24.844131,QLD
LOCKYER,Murphys Creek,"Murphy's Creek State School, Murphys Creek Road, MURPHYS CREEK",,152.051634,-27.45913,QLD
"BURLEIGH, CURRUMBIN",Palm Beach-Currumbin,"Palm Beach-Currumbin State High School, Thrower Drive, PALM BEACH",Assisted Wheelchair Access,153.474997,-28.131959,QLD
BURDEKIN,Coppabella,"Coppabella State School, Mathieson Street, COPPABELLA",Assisted Wheelchair Access,148.363409,-21.906304,QLD
SOUTHERN DOWNS,Glen Aplin,"Glen Aplin State School, 54 Mount Stirling Road, GLEN APLIN",,151.872736,-28.738406,QLD
NICKLIN,Woombye,"Woombye State School, 95 Pine Grove Road, WOOMBYE",Full Wheelchair Access,152.973826,-26.667192,QLD
HILL,South Johnstone,"South Johnstone State School, East Avenue, SOUTH JOHNSTONE",Full Wheelchair Access,145.999782,-17.593359,QLD
CLAYFIELD,Kedron High,"Kedron State High School, Park Road, KEDRON",Assisted Wheelchair Access,153.039345,-27.415011,QLD
IPSWICH WEST,Marburg,"Marburg State School, Louisa Street, MARBURG",Full Wheelchair Access,152.592689,-27.561861,QLD
SCENIC RIM,Harrisville,"Harrisville State School, 17 Hall Street, HARRISVILLE",Full Wheelchair Access,152.667257,-27.812711,QLD
SOUTHERN DOWNS,The Summit,"The Summit State School, Taggart's Road, THE SUMMIT",,151.955187,-28.579453,QLD
STAFFORD,Somerset Hills,"Somerset Hills State School, Cnr Kitchener & Webster Roads, STAFFORD",Assisted Wheelchair Access,153.018815,-27.39748,QLD
BURNETT,Alloway,"Alloway State School, 4334 Goodwood Road, ALLOWAY",Full Wheelchair Access,152.378654,-24.952075,QLD
HILL,Innisfail North,"Innisfail Disaster Management Public Education and Training Centre, 11 Flying Fish Point Road, INNISFAIL",Full Wheelchair Access,146.033908,-17.51778,QLD
CALLIDE,Warra,"Warra State School, Robinson Street, WARRA",Assisted Wheelchair Access,150.917349,-26.930363,QLD
"ASPLEY, SANDGATE",Bald Hills,"Bald Hills State School Hall, 2156 Gympie Road, BALD HILLS",Full Wheelchair Access,153.006549,-27.320001,QLD
KEPPEL,Farnborough,"Farnborough State School Hall, 8 Hinz Avenue, FARNBOROUGH",Full Wheelchair Access,150.737743,-23.076633,QLD
"ASPLEY, NUDGEE",Geebung,"Geebung State School, Activities Hall, 250 Newman Road, Geebung",Assisted Wheelchair Access,153.045946,-27.375105,QLD
"HERVEY BAY, MARYBOROUGH",Urraween,"Baptist Church, 171 Urraween Road, URRAWEEN",Full Wheelchair Access,152.815793,-25.299114,QLD
"LOGAN, SCENIC RIM",Jimboomba Central,"Emmaus College, 48 East Street, JIMBOOMBA",Full Wheelchair Access,153.036138,-27.833589,QLD
IPSWICH,Raceview,"Raceview State School Hall, 96 Wildey Street, RACEVIEW",Assisted Wheelchair Access,152.783046,-27.640558,QLD
SCENIC RIM,Beechmont,"Beechmont State School, Beechmont Road, BEECHMONT",Full Wheelchair Access,153.185774,-28.124972,QLD
LYTTON,Manly West,"Manly West State School, 226 Manly Road, Manly West",Assisted Wheelchair Access,153.173044,-27.468716,QLD
"MACALISTER, SPRINGWOOD, WATERFORD",Shailer Park,"Shailer Park State High School, Leaf Street, SHAILER PARK",Assisted Wheelchair Access,153.187104,-27.662416,QLD
WHITSUNDAY,Proserpine,"Father Tom Guard Hall, St Catherine's Catholic College, 90 Renwick Road, Proserpine",Full Wheelchair Access,148.589369,-20.410131,QLD
"TOOWOOMBA NORTH, TOOWOOMBA SOUTH",Toowoomba,"Toowoomba Indoor Bowls Centre, 10 Annand Street, TOOWOOMBA",Full Wheelchair Access,151.954511,-27.562156,QLD
MAROOCHYDORE,Mt Coolum,"Day Care Centre, 30 Suncoast Beach Drive, MOUNT COOLUM",Assisted Wheelchair Access,153.090607,-26.56643,QLD
CALLIDE,Baralaba,"Baralaba State School, 1 Power Street, BARALABA",,149.808848,-24.181313,QLD
MIRANI,Eungella,"Eungella State School, 36 Eungella Dam Road, EUNGELLA",,148.491603,-21.134529,QLD
SOUTHPORT,Ashmore West,"Trinity Primary School Hall, 251 Cotlew Street, ASHMORE",Assisted Wheelchair Access,153.37222,-27.98353,QLD
NANANGO,Blackbutt,"Blackbutt State School, Crofton Street, BLACKBUTT",Assisted Wheelchair Access,152.103578,-26.890316,QLD
GREGORY,Tieri,"Tieri State School, Bottlebrush Lane, TIERI",Assisted Wheelchair Access,148.346361,-23.035941,QLD
WARREGO,Muckadilla,"Hall, Warrego Highway, MUCKADILLA",,148.387651,-26.585318,QLD
ALGESTER,Acacia Ridge,"Acacia Ridge State School - Sports Hall, Nyngam Street, ACACIA RIDGE",,153.014086,-27.579189,QLD
"JORDAN, LOGAN",Flagstone,"Flagstone State Community College, cnr Homestead & Poinciana Drive, FLAGSTONE",Assisted Wheelchair Access,152.957413,-27.807816,QLD
BURNETT,Bargara,"Cultural Centre, 160 Hughes Road, BARGARA",Full Wheelchair Access,152.460408,-24.832662,QLD
SOUTH BRISBANE,Thompson Estate,"St John's Hall, 23-33 King Street, ANNERLEY",Assisted Wheelchair Access,153.036627,-27.502716,QLD
HILL,Flying Fish Point,"Flying Fish Point State School, Maud Street, FLYING FISH POINT",Full Wheelchair Access,146.075077,-17.499582,QLD
WARREGO,Charleville,"Charleville Town Hall, Wills Street, Charleville",,146.240899,-26.403212,QLD
"COOMERA, MACALISTER, WATERFORD",Beenleigh Central,"Beenleigh State High School, Alamein Street, BEENLEIGH",Assisted Wheelchair Access,153.204472,-27.715296,QLD
MILLER,Chelmer,"Milpera State High School, Parker Street, CHELMER",Full Wheelchair Access,152.977281,-27.51351,QLD
MAROOCHYDORE,Coolum Beach North,"Uniting Church Hall, 22-26 Elizabeth Street, COOLUM BEACH",Full Wheelchair Access,153.088338,-26.528581,QLD
HILL,Goondi,"Innisfail Tigers Soccer Club, 2 Leichardt Street, GOONDI",Full Wheelchair Access,146.014105,-17.523526,QLD
SOUTH BRISBANE,St Itas,"St Ita's Primary School, Cnr Pope Street & Waterview Terrace, DUTTON PARK",Full Wheelchair Access,153.022945,-27.494591,QLD
TOOWOOMBA SOUTH,Gabbinbar,"Gabbinbar Primary State School, 189 Stenner Street, TOOWOOMBA",Assisted Wheelchair Access,151.968896,-27.595609,QLD
SANDGATE,Sandgate,"Sandgate State School Hall, Keogh Street, SANDGATE",Assisted Wheelchair Access,153.066663,-27.320282,QLD
KEPPEL,Yeppoon,"Yeppoon State High School - Evacuation Centre, Rawlings Street, YEPPOON",Full Wheelchair Access,150.734117,-23.134761,QLD
"GREENSLOPES, SOUTH BRISBANE",Stones Corner,"The Little Kings Movement for the Handicapped, Carl St corner of O'Keefe Street, BURANDA",Full Wheelchair Access,153.037722,-27.497627,QLD
SOUTHERN DOWNS,Warwick,"Warwick Indoor Recreation and Aquatic Centre, 29 Palmerin Street, WARWICK",,152.033,-28.2116,QLD
BURDEKIN,Dysart,"Dysart State School, 4 Garnham Drive, DYSART",Assisted Wheelchair Access,148.346528,-22.587472,QLD
"MUNDINGBURRA, TOWNSVILLE",Hermit Park,"Hermit Park State School, Surrey Street, HERMIT PARK",Assisted Wheelchair Access,146.796916,-19.279432,QLD
SCENIC RIM,Kalbar,"Kalbar State School, George Street, KALBAR",Full Wheelchair Access,152.623465,-27.943043,QLD
COOMERA,Norfolk Village,"Norfolk Village State School, Halfway Drive, ORMEAU",Full Wheelchair Access,153.244869,-27.773026,QLD
BURNETT,Burnett Heads,"Burnett Heads State School, Burnett Heads Road, BURNETT HEADS",Assisted Wheelchair Access,152.414972,-24.771821,QLD
STAFFORD,Stafford Heights,"Stafford Heights State School, 95 Redwood Street, STAFFORD HEIGHTS",Full Wheelchair Access,153.003598,-27.401142,QLD
"HINCHINBROOK, MUNDINGBURRA, THURINGOWA, TOWNSVILLE",Heatley,"Heatley State School, Cnr Mill Drive & Fullham Road, HEATLEY",Assisted Wheelchair Access,146.749905,-19.293726,QLD
NANANGO,Yarraman,"Yarraman State School, 17 John Street, YARRAMAN",Full Wheelchair Access,151.976173,-26.841476,QLD
"MILLER, TOOHEY",Moorooka,"Moorooka State School, 274 Beaudesert Road, MOOROOKA",Full Wheelchair Access,153.023865,-27.536901,QLD
"EVERTON, FERNY GROVE",Mitchelton South,"Mitchelton State School, 47 Glen Retreat Road, MITCHELTON",,152.969489,-27.412779,QLD
