stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,wheelchairaccess,entrancesdesc,polling_place_type,booth_info,opening_hours,premises,address,polling_place_name,division,state,ess_stall_id,ess_stall_url
sausages & market stall,145.139,FALSE,FALSE,FALSE,TRUE,2016-07-01 12:20:37.599525+00,2016-07-01 12:20:37.599525+00,,-38.0444,primary school sausage sizzle & market stalls,,User-submitted,"{""has_vego"":true}",Assisted,Entrance to polling place: Main door to Multi Purpose Hall. Entrance to school grounds: Thames Prmnd & Wella Rd.,Public School,,,Chelsea Heights Primary School,"Chelsea Heights Primary School, Thames Prom, CHELSEA HEIGHTS, VIC 3195",Chelsea Heights,Isaacs,VIC,,
,153.0810318,FALSE,FALSE,FALSE,FALSE,,,,-28.7519153,,,,,Assisted,No fence,Community Hall,,,Bentley Public Hall,"Bentley Public Hall, Kyogle Rd, BENTLEY, NSW 2480",Bentley,Page,NSW,,
,150.972,FALSE,FALSE,FALSE,FALSE,,,,-33.7704,,,,,Assisted,Redmond Ave - drive way and pedestrian path,Public School,,,Model Farms High School,"Model Farms High School, Gooden Dr, BAULKHAM HILLS, NSW 2153",Model Farms,Mitchell,NSW,,
,147.862,FALSE,FALSE,FALSE,FALSE,,,,-35.6705,,,,,None,Entrance Humula St,Public School,,,Rosewood Public School,"Rosewood Public School, Humula St, ROSEWOOD, NSW 2652",Rosewood,Eden-Monaro,NSW,,
,145.659901,FALSE,FALSE,FALSE,FALSE,,,,-37.551102,,,,,Assisted,Entrance to polling place: access via of f-street car park area,Community Hall,,,Narbethong Community Hall,"Narbethong Community Hall, 606 Maroondah Hwy, NARBETHONG, VIC 3778",Narbethong,Indi,VIC,,
,151.3212704,FALSE,FALSE,FALSE,FALSE,,,,-24.4067172,,,,,Assisted,1 gate Cedarvale Rd,State School,,,Ubobo State School,"Ubobo State School, 16 Cedarvale Rd, UBOBO, QLD 4680",Ubobo,Flynn,QLD,,
,152.4266911,FALSE,FALSE,FALSE,FALSE,,,,-27.2461936,,,,,Assisted,Pedestrian gate at East St.  6 metre rul e applies from gate outside of the schoo l grounds,State School,,,Esk State School,"Esk State School, East St, ESK, QLD 4312",Esk,Blair,QLD,,
,152.958,FALSE,FALSE,FALSE,FALSE,,,,-26.7681,,,,,Assisted,Main Gate King Road,State School,,,Mooloolah State School,"Mooloolah State School, 48 King Rd, MOOLOOLAH VALLEY, QLD 4553",Mooloolah,Fisher,QLD,,
,146.8941486,FALSE,FALSE,FALSE,FALSE,,,,-36.1404047,,,,,Assisted,,Public School,,,Wodonga South Primary School,"Wodonga South Primary School, 15 Cartwright St, WODONGA, VIC 3690",Wodonga South,Indi,VIC,,
,146.876,FALSE,FALSE,FALSE,FALSE,,,,-38.5282,,,,,Full,The main entrance is on Prince Street.,Public School,,,Woodside Primary School,"Woodside Primary School, 41 Prince St, WOODSIDE, VIC 3874",Woodside,Gippsland,VIC,,
There were no democracy sausages!! Just SIX DOLLAR sausage rolls!! ,153.004,TRUE,FALSE,FALSE,TRUE,2016-07-02 06:40:33.057578+00,2016-07-02 03:33:50.282593+00,,-27.4314,School stall,,Twitter,{},Assisted,Banks St Enoggera Rd,Public School,,,Newmarket State School,"Newmarket State School, 15 Banks St, NEWMARKET, QLD 4051",Newmarket,Brisbane,QLD,,
,150.444,FALSE,FALSE,FALSE,FALSE,,,,-30.1408,,,,,Assisted,Cobbodah Street - Building Entrance,Community Hall,,,Upper Horton Hall,"Upper Horton Hall, Cobbadah St, UPPER HORTON, NSW 2347",Upper Horton,New England,NSW,,
"sausages, veggie sausages, drinks",149.074,FALSE,FALSE,TRUE,TRUE,2016-07-02 09:36:46.449145+00,2016-07-02 03:17:18.143188+00,,-35.2391,lake gininderra,,User-submitted,"{""has_vego"":true}",Assisted,Entrance to Polling Place: Main doors to College Sporting complex. Entrance to Grounds: From Emu Bank.,Public School,,,Lake Ginninderra College,"Lake Ginninderra College, Emu Bank, BELCONNEN, ACT 2617",Belconnen,Fenner,ACT,,
Sausage sizzle,115.8333573,FALSE,FALSE,TRUE,TRUE,2016-07-01 12:12:29.337215+00,2016-06-25 07:56:17.894773+00,,-32.0289593,Ardross Primary School Sausage Sizzle,,Election Sausage Sizzle,{},Assisted,Access from Drumfern St,Public School,,,Ardross Primary School,"Ardross Primary School, 46 Links Rd, ARDROSS, WA 6153",Ardross West,Tangney,WA,2703,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/2703/Ardross-Primary-School-Ardross-Primary-School-Sausage-Sizzle/no
,116.0035551,FALSE,FALSE,FALSE,FALSE,,,,-32.0712291,,,,,Assisted,Main entrance,,,,Addie Mills Centre,"Addie Mills Centre, Astley St, GOSNELLS, WA 6110",Gosnells Central,Burt,WA,,
,115.632,FALSE,FALSE,FALSE,FALSE,,,,-33.5131,,,,,Assisted,entrance to hall.,,,,Elgin Hall,"Elgin Hall, Railway Rd, ELGIN, WA 6237",Elgin,Forrest,WA,,
"Sausages, bratwurst, hamburgers,  water",147.077734,FALSE,FALSE,TRUE,FALSE,2016-06-25 07:56:16.78621+00,2016-06-25 07:56:16.78621+00,,-43.161953,Lions Club of Port Cygnet,,Election Sausage Sizzle,{},Assisted,Entrance to polling place: Main door to hall off Mary St.,,,,Cygnet Town Hall,"Cygnet Town Hall, 14 Mary St, CYGNET, TAS 7112",Cygnet,Franklin,TAS,2938,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/2938/Cygnet-Town-Hall-Lions-Club-of-Port-Cygnet/no
,147.295517,FALSE,FALSE,FALSE,FALSE,,,,-42.846134,,,,,Assisted,Entrance to polling place: Main door of hall off Hopkins St.,,,,Old Arts Centre,"Old Arts Centre, 65 Hopkins St, MOONAH, TAS 7009",Moonah,Denison,TAS,,
,146.9283,FALSE,FALSE,FALSE,FALSE,,,,-42.9982,,,,,Assisted,Entrance to polling place: Main door to hall. Entrance to grounds: Car park off Glen Huon Rd.,,,,Judbury Hall,"Judbury Hall, 1273 Glen Huon Rd, JUDBURY, TAS 7109",Judbury,Franklin,TAS,,
,153.071,FALSE,FALSE,TRUE,TRUE,2016-07-02 01:52:23.579241+00,2016-07-02 01:52:23.579241+00,,-27.3981,,,,{},Assisted,Amelia St Killeen St,State School,,,Northgate State School,"Northgate State School, 128 Amelia St, NUNDAH, QLD 4012",Northgate,Lilley,QLD,,
"sausages, burgers, drinks supporting community projects",138.708998,FALSE,FALSE,FALSE,TRUE,2016-06-30 01:42:08.096188+00,2016-06-30 01:42:08.096188+00,,-34.767937,salvation army,,,{},Assisted,Golden Grove Rd,Other,,,Salvation Army,"Salvation Army, 1681 Golden Grove Rd, GREENWITH, SA 5125",Greenwith West,Makin,SA,3803,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3803/Greenwith West/no
,153.54,FALSE,FALSE,FALSE,FALSE,,,,-28.1696,,,,,Assisted,car park off Chalk St,Senior Citizens Centre,,,Senior Citizens Centre,"Senior Citizens Centre, 2 Gerrard St, COOLANGATTA, QLD 4225",Coolangatta,McPherson,QLD,,
,115.381,FALSE,FALSE,FALSE,FALSE,,,,-33.7675,,,,,Assisted,entrance to hall.,Community Hall,,,Acton Park Hall,"Acton Park Hall, 804 Acton Park Road, ACTON PARK, WA 6280",Acton Park,Forrest,WA,,
,150.9849427,FALSE,FALSE,FALSE,FALSE,,,,-33.3954535,,,,,Assisted,Old Northern Road - Driveway River Rd - Front gate,Public School,,,Wisemans Ferry Public School,"Wisemans Ferry Public School, Old Northern Rd, WISEMANS FERRY, NSW 2775",Wisemans Ferry,Berowra,NSW,,
,138.479,FALSE,FALSE,FALSE,FALSE,,,,-35.2249,,,,,None,Main door to hall,Community Hall,,,Maslin Beach Community Hall,"Maslin Beach Community Hall, Parkway Dr, MASLIN BEACH, SA 5170",Maslin Beach,Kingston,SA,,
,151.126,FALSE,FALSE,FALSE,FALSE,,,,-23.8468,,,,,Assisted,Entrance from Butler St,State School,,,Yarwun State School,"Yarwun State School, 35 Butler St, YARWUN, QLD 4694",Yarwun,Flynn,QLD,,
,152.3781395,FALSE,FALSE,FALSE,FALSE,,,,-24.952114,,,,,Assisted,Small entrance gate from Goodwood Road,State School,,,Alloway State School,"Alloway State School, 4334 Goodwood Rd, ALLOWAY, QLD 4670",Alloway,Hinkler,QLD,,
,146.863,FALSE,FALSE,FALSE,FALSE,,,,-19.1512,,,,,Assisted,Entrance to polling place: Entry to covered walkway facing Marine Pde. Entrance to grounds: Small gate in Marine Pde.,Community Hall,,,Magnetic Island Bowls Club,"Magnetic Island Bowls Club, 18 Marine Parade, ARCADIA, QLD 4819",Arcadia,Herbert,QLD,,
,149.592,FALSE,FALSE,FALSE,FALSE,2016-07-02 04:56:32.128314+00,2016-07-02 04:56:32.128314+00,,-32.5914,,,,{},Assisted,Market Street - Building Entrance,,,,Police and Community Youth Club,"Police and Community Youth Club, 50 Market St, MUDGEE, NSW 2850",Mudgee,Calare,NSW,,
,138.616175,FALSE,FALSE,FALSE,FALSE,,,,-34.971578,,,,,Assisted,Main door to Kurraka Building,Public School,,,Mitcham Primary School,"Mitcham Primary School, Hillview Road, KINGSWOOD, SA 5062",Kingswood,Boothby,SA,,
,134.189261,FALSE,FALSE,FALSE,TRUE,2016-07-02 06:00:32.830157+00,2016-07-02 06:00:32.830157+00,,-19.649192,,,Text,{},Assisted,,Public School,,,Tennant Creek Primary School,"Tennant Creek Primary School, 31 Paterson Street, TENNANT CREEK, NT 860",Tennant Creek,Lingiari,NT,,
,145.731,FALSE,FALSE,TRUE,TRUE,2016-07-02 07:06:24.764076+00,2016-07-02 07:06:24.764076+00,,-17.0074,,,Instagram,{},Assisted,Building entrance,Private School,,,St Therese's School,"St Therese's School, 135-167 Robert Rd, BENTLEY PARK, QLD 4869",Bentley Park,Leichhardt,QLD,,
,147.0389199,FALSE,FALSE,FALSE,FALSE,,,,-34.7929072,,,,,Assisted,,,,,Ganmain Hall,"Ganmain Hall, Ford St, GANMAIN, NSW 2702",Ganmain,Riverina,NSW,,
,144.2764896,FALSE,FALSE,FALSE,FALSE,,,,-38.1700209,,,,,Assisted,,,,,Ceres Temperance Hall,"Ceres Temperance Hall, Cnr Wheatsheaf & McCann Sts, CERES, VIC 3221",Ceres,Corangamite,VIC,,
,146.9485116,FALSE,FALSE,FALSE,FALSE,,,,-36.1797136,,,,,Assisted,Entrance to polling place: Main door Multi purpose room. Entrance to school grounds:  Via main carpark Verbeena Rd.,,,,Baranduda Primary School,"Baranduda Primary School, 7 Verbena St, BARANDUDA, VIC 3691",Baranduda,Indi,VIC,,
,145.0440666,FALSE,FALSE,FALSE,FALSE,,,,-37.7752505,,,,,Assisted,Dodemaide Hall,,,,Ivanhoe Grammar School,"Ivanhoe Grammar School, 41 The Ridgeway, IVANHOE, VIC 3079",Fairy Hills,Jagajaga,VIC,,
,144.9604744,FALSE,FALSE,FALSE,FALSE,,,,-37.8069147,,,,,Assisted,51-58 Victoria St Corner of Elizabeth,,,,Drill Hall,"Drill Hall, 26 Therry St, MELBOURNE, VIC 3000",North Melbourne,Melbourne,VIC,,
Sausages and cakes,144.409,FALSE,FALSE,TRUE,TRUE,2016-06-24 09:45:06.04061+00,2016-06-24 09:45:06.04061+00,,-37.3248,Sausage sizzle and cake stall ,,User-submitted,{},Assisted,Clowes St entrance,Public School,,,Tylden Primary School,"Tylden Primary School, 11 Clowes St, TYLDEN, VIC 3444",Tylden,Bendigo,VIC,3245,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3245/Tylden/no
Sausage sizzle and drinks,150.5929489,FALSE,FALSE,FALSE,TRUE,2016-06-28 14:36:04.27816+00,2016-06-28 14:36:04.27816+00,,-34.5890707,Robertson Public School P&F sausage sizzle,,,{},Assisted,Entrance Hoddle St.,,,,Robertson School of Arts,"Robertson School of Arts, 55 Hoddle St, ROBERTSON, NSW 2577",Robertson,Whitlam,NSW,3340,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3340/Robertson/no
Sausages and bacon and egg rolls.,145.1220345,FALSE,FALSE,FALSE,TRUE,2016-06-30 06:20:26.525262+00,2016-06-30 06:20:26.525262+00,,-37.6000032,Hazel Glen College ,,,"{""has_bacon_and_eggs"":true}",Assisted,,,,,Hazel Glen College,"Hazel Glen College, 175 Cookes Road, DOREEN, VIC 3754",Doreen Central,McEwen,VIC,3471,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3471/Doreen-Central/no
,152.977302,FALSE,FALSE,FALSE,FALSE,,,,-27.282887,,,,,Assisted,,,,,Lawnton Community Centre,"Lawnton Community Centre, Cnr Todds Rd and Ellis St, LAWNTON, QLD 4501",Lawnton,Dickson,QLD,,
,153.052,FALSE,FALSE,FALSE,FALSE,,,,-27.4994,,,,,Assisted,Enter from Kirkland Ave,,,,St James Parish Hall,"St James Parish Hall, 165 Old Cleveland Rd, COORPAROO, QLD 4151",Stones Corner,Griffith,QLD,,
,141.89,FALSE,FALSE,FALSE,FALSE,,,,-12.6824,,,,,Assisted,Building Entrance,,,,Susie Madua Conference Centre,"Susie Madua Conference Centre, 320 Wa-Tyne St, NAPRANUM, QLD 4874",Napranum,Leichhardt,QLD,,
,151.2064528,FALSE,TRUE,FALSE,FALSE,2016-07-02 02:25:31.955234+00,2016-07-02 02:25:31.955234+00,,-33.8730501,,,,{},Assisted,via Town Hall Square,,,,Sydney Town Hall,"Sydney Town Hall, George St,  SYDNEY, NSW 2000",Sydney (Mackellar),Mackellar,NSW,,
"Sausage sandwiches, bacon & egg sandwiches, onions and bread roll option for the vegetarians :) ",150.999,FALSE,FALSE,TRUE,TRUE,2016-06-30 01:47:23.263764+00,2016-06-30 01:47:23.263764+00,,-33.7272,The Bowlos Snag sizzle,,,{},Assisted,Castle St,Public School,,,Castle Hill High School,"Castle Hill High School, Castle St, CASTLE HILL, NSW 2154",Castle Hill Central,Mitchell,NSW,,
,144.134,FALSE,FALSE,FALSE,TRUE,2016-07-02 04:00:20.501487+00,2016-07-02 04:00:20.501487+00,,-37.9661,Lethbridge Cubs and Scouts sausage sizzle,,,{},Assisted,Main entrance of Hall,,,,Lethbridge Public Hall,"Lethbridge Public Hall, Russell St, LETHBRIDGE, VIC 3332",Lethbridge,Corangamite,VIC,4251,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/4251/Lethbridge/no
,150.9732425,FALSE,FALSE,FALSE,FALSE,,,,-33.803316,,,,,Assisted,Darcy Rd & Olive St,Public School,,,Darcy Road Public School,"Darcy Road Public School, Darcy Rd, WENTWORTHVILLE, NSW 2145",Darcy Road,Parramatta,NSW,,
,152.148993,FALSE,FALSE,FALSE,FALSE,,,,-24.987541,,,,,Assisted,Entrance off Pine Creek Road,State School,,,Givelda State School,"Givelda State School, 754 Pine Creek Rd, GIVELDA, QLD 4670",Givelda,Hinkler,QLD,,
,145.35439,FALSE,FALSE,FALSE,FALSE,,,,-37.753338,,,,,Assisted,Entrance to polling place: Door to hall.  Entrance to grounds: Via driveway on Jo nes st.,Church,,,St John's Church Hall,"St John's Church Hall, cnr Castella & Jones Sts, LILYDALE, VIC 3140",Lilydale,Casey,VIC,,
,151.1861229,FALSE,FALSE,FALSE,FALSE,,,,-33.8069303,,,,,Assisted,Artarmon Rd,Community Hall,,,Artarmon Community Centre,"Artarmon Community Centre, 139 Artarmon Rd, ARTARMON, NSW 2064",Artarmon,North Sydney,NSW,,
Sausage sizzle raising funds for School Camp.,145.313,FALSE,FALSE,FALSE,TRUE,2016-07-02 04:00:17.423683+00,2016-07-02 04:00:17.423683+00,,-36.3854,Ardmona Primary School,,,{},Assisted,Entry via main gate facing Turnbull Rd.,Public School,,,Ardmona Primary School,"Ardmona Primary School, 580 Turnbull Rd, ARDMONA, VIC 3629",Ardmona,Murray,VIC,4414,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/4414/Ardmona/no
,145.076,FALSE,TRUE,FALSE,FALSE,2016-07-02 04:21:06.263985+00,2016-07-02 04:21:06.263985+00,,-37.8985,,,Twitter,{},Assisted,Entry from Poath Rd.  Single entry to hall.,,,,Hughesdale Community Centre,"Hughesdale Community Centre, cnr Kangaroo & Poath Rds, HUGHESDALE, VIC 3166",Hughesdale,Hotham,VIC,,
,144.888422,FALSE,TRUE,FALSE,FALSE,2016-07-02 04:58:57.045681+00,2016-07-02 04:58:57.045681+00,,-37.627398,,,Twitter,{},Assisted,,,,,Aitken College,"Aitken College, 1010 Mickleham Rd, GREENVALE, VIC 3059",Greenvale,Calwell,VIC,,
,144.553,FALSE,FALSE,FALSE,FALSE,,,,-38.166,,,,,Assisted,Main gate on Jetty Road,Public School,,,Clifton Springs Primary School,"Clifton Springs Primary School, 84 Jetty Road, CLIFTON SPRINGS, VIC 3222",Clifton Springs,Corio,VIC,,
,151.9400474,FALSE,FALSE,FALSE,FALSE,,,,-26.2460018,,,,,Assisted,Entrance to polling place: Macalister St,,,,Murgon PCYC,"Murgon PCYC, 40 Macalister St, MURGON, QLD 4605",Murgon,Wide Bay,QLD,,
,153.0278877,FALSE,FALSE,FALSE,FALSE,,,,-28.104683,,,,,Assisted,Access from Kerry Road - 1 Pedestrian Ga te and 1 Vehicle Gate.,,,,Kerry Memorial Hall,"Kerry Memorial Hall, 1488 Kerry Rd, KERRY, QLD 4285",Kerry,Wright,QLD,,
,145.999,FALSE,FALSE,FALSE,FALSE,,,,-41.2015,,,,,None,"Main entrance, Pine Rd",,,,Riana Community Centre,"Riana Community Centre, 1221 Pine Rd, RIANA, TAS 7316",Riana,Braddon,TAS,,
,115.792812,FALSE,FALSE,FALSE,TRUE,2016-07-01 05:39:21.4794+00,2016-07-01 05:39:21.4794+00,,-31.716048,Tapping P&C fundraiser,,Radio,{},Assisted,Multiple entry to undercover area,Public School,,,Tapping Primary School,"Tapping Primary School, St Stephens Cres, TAPPING, WA 6065",Tapping,Cowan,WA,,
,151.0773353,FALSE,FALSE,FALSE,FALSE,,,,-33.9729046,,,,,Assisted,Pitt St,,,,Mortdale Pensioners Welfare Club,"Mortdale Pensioners Welfare Club, 76 Pitt St, MORTDALE, NSW 2223",Mortdale Central,Banks,NSW,,
,151.1148974,FALSE,FALSE,FALSE,FALSE,,,,-33.9767897,,,,,Assisted,Blakesley Rd Bellevue Pde,Community Hall,,,P J Ferry Hall,"P J Ferry Hall, cnr Bellevue Pde & Blakesley Rd, ALLAWAH, NSW 2218",Allawah,Banks,NSW,,
"At the very least, the classic Aussie sausages in rolls and drinks. Sausages will be available in Halal and non-Halal from separate BBQs. Look out for muffins, Korean dumplings and a raffle to win cool electronics gear.",151.1051073,FALSE,FALSE,FALSE,TRUE,2016-06-30 12:07:56.097862+00,2016-06-30 12:07:56.097862+00,,-33.9124609,Campsie Public School,,,"{""has_halal"":true}",None,Entrances:Harold St,Public School,,,Campsie Public School,"Campsie Public School, Evaline St, CAMPSIE, NSW 2194",Campsie,Watson,NSW,3705,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3705/Campsie/no
sausages sizzle and drinks ,151.2161341,FALSE,FALSE,FALSE,TRUE,2016-06-30 12:07:58.793527+00,2016-06-30 12:07:58.793527+00,,-33.7756842,Primary School Sausage Sizzle,,,{},Assisted,Entrance to polling place: main entrance  to school hall. Entrance to grounds: Melwood Ave.,Public School,,,Killarney Heights Public School,"Killarney Heights Public School, Melwood Ave, KILLARNEY HEIGHTS, NSW 2087",Killarney Heights,Warringah,NSW,3790,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3790/Killarney-Heights/no
"There will be busking all day, plenty to eat and drink, a raffle and some great stalls to pick up some treats. Were raising money for our sister school in Thailand",151.262,FALSE,FALSE,TRUE,TRUE,2016-07-02 03:06:17.70048+00,2016-06-30 12:07:53.778642+00,,-33.9008,Primary school sausage sizzle & market stalls,,,{},Assisted,Enter from Hewlett St only,Public School,,,Bronte Public School,"Bronte Public School, Hewlett St, BRONTE, NSW 2024",Bronte,Wentworth,NSW,3747,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3747/Bronte/no
All day sausage sizzle 8am-6pm Cake stall Drinks,150.982054,FALSE,FALSE,TRUE,TRUE,2016-06-30 06:20:21.090983+00,2016-06-30 06:20:21.090983+00,,-33.9611817,East Hills Scout Group ,,,{},None,MacLaurin Ave,,,,1st East Hills Scout Hall,"1st East Hills Scout Hall, 629 Henry Lawson Dr, EAST HILLS, NSW 2213",East Hills,Banks,NSW,3678,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3678/East-Hills/no
,115.9103688,FALSE,FALSE,FALSE,FALSE,,,,-32.011736,,,,,Assisted,,Public School,,,Bentley Primary School,"Bentley Primary School, 15 Hedley Street, BENTLEY, WA 6102",Bentley South,Swan,WA,,
,150.3139445,FALSE,FALSE,FALSE,TRUE,2016-06-30 14:23:46.588737+00,2016-06-22 07:42:16.578305+00,,-33.7195074,Katoomba,"Sausages, bacon & egg rolls, home made lemonade by KPS P&C.",User-submitted,"{""has_bacon_and_eggs"":true}",Assisted,Main entrance from Merriwa St. 1 entranc e via Ada St.,Public School,,,Katoomba Public School,"Katoomba Public School, 6-22 Merriwa St, KATOOMBA, NSW 2780",Katoomba,Macquarie,NSW,3271,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3271/Katoomba/no
"Sausages, bread rolls, bacon, onions, cans, cakes, cookies and brownies",151.03,FALSE,FALSE,TRUE,TRUE,2016-06-29 12:28:14.91188+00,2016-06-29 12:28:14.91188+00,,-33.949,Padstow community care sausage sizzle ,,,{},Assisted,Cahors Rd,Senior Citizens Centre,,,Padstow Senior Citizens Centre,"Padstow Senior Citizens Centre, 17 Cahors Rd, PADSTOW, NSW 2211",Padstow East,Banks,NSW,3560,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3560/Padstow-East/no
Sausage Sizzle Drinks,138.562692,FALSE,FALSE,TRUE,TRUE,2016-06-30 06:20:22.54092+00,2016-06-30 06:20:22.54092+00,,-34.990689,Lions Club of Edwardstown,,,{},Assisted,Albert St,Senior Citizens Centre,,,Active Elders Association,"Active Elders Association, 27A Charles St, ASCOT PARK, SA 5043",Ascot Park,Hindmarsh,SA,3650,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3650/Ascot-Park/no
,151.113,FALSE,FALSE,FALSE,FALSE,,,,-33.9814,,,,,Assisted,Woniora Rd,Public School,,,Blakehurst High School,"Blakehurst High School, 270A Woniora Rd, BLAKEHURST, NSW 2221",Blakehurst North,Banks,NSW,,
,115.694,FALSE,FALSE,FALSE,FALSE,,,,-32.5397,,,,,Assisted,Through Main doors from the carpark off McLarty Rd.,Church,,,Metro Church,"Metro Church, 240 McLartry Rd, HALLS HEAD, WA 6210",Halls Head West,Canning,WA,,
,151.111,FALSE,FALSE,FALSE,FALSE,,,,-33.9756,,,,,Assisted,George St,Church,,,St Raphael's Church Hall,"St Raphael's Church Hall, 84 George St, SOUTH HURSTVILLE, NSW 2221",Allawah South,Banks,NSW,,
,150.998,FALSE,FALSE,FALSE,FALSE,,,,-33.9519,,,,,Assisted,Wilson St,,,,2nd Panania Scouts Hall,"2nd Panania Scouts Hall, 21 Wilson St, PANANIA, NSW 2213",Panania Central,Banks,NSW,,
