state,polling_place_name,premises,division,address,lon,lat
VIC,Laburnum,Laburnum Primary School,Box Hill District,"corner Middleborough Road and Janet Street, Blackburn, 3130",145.13875,-37.82708
VIC,Box Hill,St Peter's Anglican Church Hall,Box Hill District,"1038 Whitehorse Road, Box Hill, 3128",145.127444,-37.818848
VIC,Surrey Hills North,Surrey Hills Holy Trinity Church Hall,Box Hill District,"177 Union Road, Surrey Hills, 3127",145.0981462,-37.82236409
VIC,Surrey Hills,Surrey Hills Uniting Church Hall,"Box Hill District, Burwood District","corner Canterbury Road and Valonia Avenue, Surrey Hills, 3127",145.101588,-37.826276
VIC,Blackburn,The Avenue Uniting Church,Box Hill District,"44 Blackburn Road, Blackburn, 3130",145.152223,-37.822904
VIC,Doncaster South,Birralee Primary School,Bulleen District,"8-26 Heyington Avenue, Doncaster, 3108",145.11334,-37.79328
VIC,Lower Templestowe,Bulleen Heights School Manningham Road Campus,Bulleen District,"221 Manningham Road, Templestowe Lower, 3107",145.1051053,-37.7711514
VIC,The Pines,Deep Creek Anglican Church Hall,"Warrandyte District, Bulleen District","460 Blackburn Road, Doncaster East, 3109",145.1666153,-37.76625059
VIC,Doncaster,Doncaster Primary School,Bulleen District,"2-12 Council Street, Doncaster, 3108",145.12967,-37.7868
VIC,Doncaster Central,Doncaster Secondary College,Bulleen District,"123 Church Road, Doncaster, 3108",145.13805,-37.78458
VIC,Manningham,St Clement of Rome Primary School,Bulleen District,"9 Egan Drive, Bulleen, 3105",145.0905395,-37.76742664
VIC,Templestowe Park,Templestowe Park Primary School,Bulleen District,"399 Church Road, Templestowe, 3106",145.1423979,-37.75612137
VIC,Templestowe Valley,Templestowe Valley Primary School,Bulleen District,"15 Birchwood Avenue, Templestowe Lower, 3107",145.1103797,-37.76004447
VIC,Doncaster West,Vista Valley Kindergarten,Bulleen District,"3 Vista Street, Bulleen, 3105",145.103124,-37.777699
VIC,Banyan Fields,Banyan Fields Primary School,Carrum District,"90 Cadles Road, Carrum Downs, 3201",145.18719,-38.09477
VIC,Belvedere Park,Belvedere Park Primary School,Carrum District,"30 Belvedere Road, Seaford, 3198",145.14681,-38.10972
VIC,Bonbeach,Bonbeach Primary School,Carrum District,"29-63 Breeze Street, Bonbeach, 3196",145.1252784,-38.06705266
VIC,Carrum,Carrum Primary School,Carrum District,"Walkers Road (access via Valetta Street), Carrum, 3197",145.1262705,-38.07843746
VIC,Chelsea Central,Chelsea Primary School,"Mordialloc District, Carrum District","34-44 Argyle Avenue, Chelsea, 3196",145.1226069,-38.05551013
VIC,Kananook,Kananook Primary School,"Carrum District, Frankston District","22 Wells Road, Seaford, 3198",145.132125,-38.12503269
VIC,Patterson Lakes,Patterson Lakes Community Centre,Carrum District,"54-70 Thompsons Road, Patterson Lakes, 3197",145.143454,-38.068894
VIC,Rowellyn Park,Rowellyn Park Primary School,Carrum District,"Corner Tattler Street and Rowellyn Avenue, Carrum Downs, 3201",145.1922457,-38.10379321
VIC,Seaford,Seaford Primary School,Carrum District,"McRae Street, Seaford, 3198",145.1305,-38.10444
VIC,Skye,Skye Primary School,Carrum District,"395 Ballarto Road, Skye, 3977",145.20124,-38.11771
VIC,Warrawong,Blackburn English Language School,Forest Hill District,"120 Eley Road, Burwood East, 3151",145.14829,-37.84789
VIC,Burwood Heights,Burwood Heights Primary School,Forest Hill District,"corner Mahoneys and Hawthorn Roads, Burwood East, 3130",145.162611,-37.847182
VIC,Camelot,Camelot Rise Primary School,Forest Hill District,"Galahad Crescent, Glen Waverley, 3150",145.18803,-37.86524
VIC,Tally Ho,East Burwood Hall,Forest Hill District,"310 Burwood Highway, Burwood East, 3151",145.1615849,-37.85438717
VIC,Glen Waverley,Glen Waverley Primary School,"Mount Waverley District, Forest Hill District","774 High Street Road, Glen Waverley, 3150",145.1678,-37.87469
VIC,Forest Hill,Holbury Childrens Centre,Forest Hill District,"29 Raleigh Street, Blackburn South, 3130",145.15907,-37.839374
VIC,Charlesworth Park,Livingstone Primary School,Forest Hill District,"25 Livingstone Road, Vermont South, 3133",145.1806597,-37.85292008
VIC,Nunawading South,Mt Pleasant Road Primary School,"Ringwood District, Forest Hill District","105 Mt Pleasant Road, Nunawading, 3131",145.1802695,-37.82855638
VIC,Parkmore,Parkmore Primary School,Forest Hill District,"38-54 Jolimont Road, Forest Hill, 3131",145.176916,-37.84390778
VIC,Mitcham South,Rangeview Primary School,"Ringwood District, Forest Hill District","27 Churinga Avenue, Mitcham, 3132",145.2061775,-37.82917441
VIC,Eastmont,St James Primary School,Forest Hill District,"51 Centre Road, Vermont, 3133",145.209429,-37.836488
VIC,Morack,Vermont Secondary College,Forest Hill District,"27-63 Morack Road, Vermont, 3133",145.200832,-37.844126
VIC,Weeden Heights,Weeden Heights Primary School,Forest Hill District,"43-51 Weeden Drive, Vermont South, 3133",145.1781124,-37.85889415
VIC,Bruce Park,Bruce Park Hall,Frankston District,"Margate Avenue, Frankston, 3199",145.138256,-38.1614187
VIC,Frankston Rail,Chisholm Institute,Frankston District,"Fletcher Road, Frankston, 3199",145.1267687,-38.14410273
VIC,Derinya,Derinya Primary School,"Frankston District, Mornington District","Overport Road, Frankston South, 3199",145.1209613,-38.1743983
VIC,Frankston East,Frankston East Primary School,Frankston District,"Ashleigh Avenue, Frankston, 3199",145.1459046,-38.14635127
VIC,Frankston Heights,Frankston Heights Primary School,Frankston District,"10 Kalmia Street, Frankston, 3199",145.14671,-38.16228
VIC,Frankston South,Frankston High School,Frankston District,"48 Foot Street, Frankston, 3199",145.1291267,-38.16237394
VIC,John Paul College,John Paul College,Frankston District,"McMahons Road, Frankston, 3199",145.1394302,-38.13606519
VIC,Karingal Heights,Karingal Heights Primary School,Frankston District,"Havana Crescent, Frankston, 3199",145.16636,-38.14102
VIC,Kingsley Park,Kingsley Park Primary School,Frankston District,"Franciscan Avenue, Frankston, 3199",145.1557,-38.16808
VIC,Mt Erin,Mount Erin College,Frankston District,"Robinsons Road, Frankston South, 3199",145.1461108,-38.17401771
VIC,Frankston,St Francis Xavier Primary School,Frankston District,"8 Park Street, Frankston, 3199",145.126207,-38.148857
VIC,Mordialloc East,Allan McLean Hall,Mordialloc District,"37 Albert Street, Mordialloc, 3195",145.086403,-38.00417343
VIC,Aspendale,Aspendale Primary School,Mordialloc District,"23 Laura Street, Aspendale, 3195",145.1004186,-38.02125088
VIC,Cheltenham South,Cheltenham East Community Centre,Mordialloc District,"39 Follett Road, Cheltenham, 3192",145.0711245,-37.97083082
VIC,Edithvale,Edithvale Primary School,Mordialloc District,"42-54 Edithvale Road, Edithvale, 3196",145.113066,-38.03750296
VIC,Mentone Park,Mentone Park Primary School,Mordialloc District,"1-7 Broome Avenue, Mentone, 3194",145.0828,-37.98001
VIC,Mentone North,Mentone Scout Hall,Mordialloc District,"38 Levanto Street, Mentone, 3194",145.0759768,-37.97876061
VIC,Parkdale Central,Parkdale Primary School,Mordialloc District,"Nepean Highway (Access via Morgan Street ), Parkdale, 3195",145.0841995,-37.99280387
VIC,Parkdale East,Parkdale Secondary College,Mordialloc District,"Warren Road, Mordialloc, 3195",145.0941,-37.98964
VIC,Oakleigh East,Amsleigh Park Primary School,Oakleigh District,"State Street, Oakleigh East, 3166",145.1096489,-37.90019445
VIC,Glen Waverley Lower,Bestchance Child Family Care,Mount Waverley District,"583 Ferntree Gully Road, Glen Waverley, 3150",145.1591724,-37.9021081
VIC,Carnegie,Carnegie Primary School,Oakleigh District,"51 Truganini Road, Carnegie, 3163",145.0546482,-37.8900519
VIC,Chelsea Heights,Chelsea Heights Primary School,Mordialloc District,"194 Thames Promenade, Chelsea Heights, 3196",145.1390901,-38.0448052
VIC,Oakleigh Central,Emmanuel Anglican Church Hall,Oakleigh District,"26 Abbeygate Street, Oakleigh, 3166",145.090198,-37.906509
VIC,Essex Heights,Essex Heights Primary School,Mount Waverley District,"22-30 Essex Road, Mount Waverley, 3149",145.115392,-37.863877
VIC,The Glen,Glen Waverley Secondary College,Mount Waverley District,"O'Sullivan Road, Glen Waverley, 3149",145.1628047,-37.87811817
VIC,Glen Waverley South,Glen Waverley South Primary School,"Mount Waverley District, Mulgrave District","corner Watsons Road and Whites Lane, Glen Waverley, 3150",145.1684291,-37.89777783
VIC,Clayton North,Monash Uniting Church Hall,"Oakleigh District, Clarinda District","1937 Dandenong Road, Clayton, 3168",145.124853,-37.912371
VIC,Mount View,Mount View Primary School,Mount Waverley District,"Shepherds Road, Glen Waverley, 3150",145.17885,-37.88355
VIC,Syndal North,Mount Waverley North Primary School,Mount Waverley District,"Marcus Avenue, Mount Waverley, 3149",145.14186,-37.86804
VIC,Mount Waverley South,Mount Waverley Primary School,Mount Waverley District,"37-45 Park Lane, Mount Waverley, 3149",145.1228424,-37.88145484
VIC,Murrumbeena,Murrumbeena Primary School,Oakleigh District,"Hobart Road, Murrumbeena, 3163",145.0707024,-37.88673464
VIC,Monash East,Notting Hill Neighbourhood House,Oakleigh District,"37 Westerfield Drive, Notting Hill, 3168",145.149379,-37.906233
VIC,Huntingdale,Oakleigh Occasional Care Centre,Oakleigh District,"corner Garnett and Greville Streets, Huntingdale, 3166",145.1117651,-37.9061
VIC,Oakleigh,Oakleigh Primary School,Oakleigh District,"corner Warrigal Road and Logie Street, Oakleigh, 3166",145.088768,-37.894908
VIC,Pinewood,Pinewood Primary School,Mount Waverley District,"27-35 Pinewood Drive, Mount Waverley, 3149",145.1418477,-37.89055455
VIC,Carnegie West,St Anthony's Parish Primary School,Oakleigh District,"cnr Neerim and Grange Roads (access via Grange Road, Carnegie, 3163",145.046641,-37.887105
VIC,Carrum Downs Central,St Joachim's Catholic Primary School,Carrum District,"25 Broderick Road, Carrum Downs, 3201",145.1785687,-38.102901
VIC,Murrumbeena South,St Patrick's School,Oakleigh District,"3 Dalny Road, Murrumbeena, 3163",145.064894,-37.901924
VIC,Syndal South,Syndal South Primary School,Mount Waverley District,"14 Montgomery Avenue, Mount Waverley, 3149",145.14297,-37.87909
VIC,Glen Waverley Central,Glen Waverley Community Centre,Mount Waverley District,"700 Waverley Road, Glen Waverley, 3150",145.1619781,-37.88887655
VIC,Bairnsdale East,Bairnsdale Early Learning Centre,Gippsland East District,"70-78 Lucknow Street, East Bairnsdale, 3875",147.654714,-37.82689854
VIC,Bendoc,Bendoc Public Hall,Gippsland East District,"26 Dowling Road, Bendoc, 3888",148.885277,-37.147054
VIC,Boisdale,Boisdale Public Hall,Gippsland East District,"Maffra-Briagolong Road, Boisdale, 3860",146.988177,-37.882788
VIC,Briagolong,Briagolong Mechanics Institute,Gippsland East District,"9 Avon Street, Briagolong, 3860",147.068442,-37.843172
VIC,Buchan,Buchan Primary School,Gippsland East District,"4 Dalley Street, Buchan, 3885",148.18082,-37.49774
VIC,Bundalaguah,Bundalaguah Primary School,Gippsland East District,"627 Maffra-Sale Road, Bundalaguah, 3851",147.0119525,-38.02299304
VIC,Cann River,Cann River P-12 College,Gippsland East District,"20-24 Tamboon Road, Cann River, 3890",149.1530277,-37.569782
VIC,Coongulla,Coongulla Hall,Gippsland East District,"5 Gillum Road, Coongulla, 3860",146.78262,-37.89307462
VIC,Eagle Point,Eagle Point Primary School,Gippsland East District,"43 School Road, Eagle Point, 3878",147.6798131,-37.89248901
VIC,Ensay,Ensay Public Hall,Gippsland East District,"Great Alpine Road, Ensay, 3895",147.8367482,-37.37542605
VIC,Ellaswood,Wy Yung Community Hall,Gippsland East District,"260 Wy Yung-Calulu Road, Ellaswood, 3875",147.5813948,-37.79785152
VIC,Genoa,Genoa Community Hall,Gippsland East District,"4644 Princes Highway, Genoa, 3891",149.5818346,-37.48199379
VIC,Glenmaggie,Glenmaggie Mechanics Institute,Gippsland East District,"21 Glenfalloch Road, Glenmaggie, 3858",146.751051,-37.895041
VIC,Johnsonville,Johnsonville Public Hall,Gippsland East District,"Princes Highway, Johnsonville, 3902",147.8303237,-37.82029828
VIC,Lindenow,Lindenow Pre-School,Gippsland East District,"152 Main Road, Lindenow, 3865",147.4563155,-37.7998316
VIC,Lucknow,Lucknow Memorial Hall,Gippsland East District,"105 Great Alpine Road, Lucknow, 3875",147.646703,-37.811204
VIC,Maffra,Maffra Uniting Church Hall,Gippsland East District,"7 Pearson Street, Maffra, 3860",146.9772465,-37.96545236
VIC,Mallacoota,Miva Miva Centre,Gippsland East District,"corner Mallacoota Road and Mattsson Street, Mallacoota, 3892",149.7504135,-37.55908117
VIC,Newlands Arm,Newlands Arm Community Centre,Gippsland East District,"25 Meridian Way, Newlands Arm, 3875",147.6919444,-37.92782986
VIC,Newmerella,Newmerella Primary School,Gippsland East District,"McLaughlins Road, Newmerella, 3886",148.434,-37.73547
VIC,Nicholson,Nicholson Recreation Rooms,Gippsland East District,"1010 Princes Highway, Nicholson, 3882",147.748645,-37.815888
VIC,Nowa Nowa,Nowa Nowa Community Health Centre,Gippsland East District,"Hall Road, Nowa Nowa, 3887",148.0928856,-37.7306587
VIC,Nungurner,Nungurner Primary School,Gippsland East District,"455 Nungurner Road, Nungurner, 3909",147.88839,-37.86592
VIC,Omeo,Soldiers Memorial Hall,Gippsland East District,"179 Day Avenue, Omeo, 3898",147.59154,-37.100791
VIC,Lakes Entrance East,St Brendan's Catholic Primary School,Gippsland East District,"40 Golf Links Road, Lakes Entrance, 3909",148.0117483,-37.87238142
VIC,Orbost,St James Anglican Parish Hall,Gippsland East District,"Browning Street, Orbost, 3888",148.456744,-37.707917
VIC,Stratford,Stratford Mechanics Hall,Gippsland East District,"Hobson Street, Stratford, 3862",147.0811845,-37.96599434
VIC,Swifts Creek,Swifts Creek Hall,Gippsland East District,"6869 Great Alpine Road, Swifts Creek, 3896",147.721811,-37.264206
VIC,Newry,Upper Maffra Mechanics Institute,Gippsland East District,"139-141 Boisdale-Newry Road, Newry, 3859",146.896013,-37.916402
VIC,Valencia Creek,Valencia Creek Soldiers Memorial Hall,Gippsland East District,"86 Valencia Creek-Briagolong Road, Valencia Creek, 3860",146.9894686,-37.82546336
VIC,Alberton,Alberton Primary School,Gippsland South District,"21 Thomson Street, Alberton, 3971",146.6666,-38.61771
VIC,Arawata,Arawata Public Hall,Gippsland South District,"401 Fairbank Road, Arawata, 3951",145.8698918,-38.39458516
VIC,Bena,Bena Public Hall,Gippsland South District,"41 Main Road, Bena, 3946",145.762307,-38.411674
VIC,Berrys Creek,Berrys Creek Public Hall,Gippsland South District,"20 Berrys Creek Road, Berrys Creek, 3953",146.0722476,-38.40617014
VIC,Leongatha,Dakers Centre,Gippsland South District,"23 Smith Street, Leongatha, 3953",145.9423727,-38.47730912
VIC,Devon North,Devon North Public Hall,Gippsland South District,"599 Tarra Valley Road, Devon North, 3971",146.658403,-38.52001
VIC,Fish Creek,Fish Creek Memorial Hall,Gippsland South District,"Falls Road, Fish Creek, 3959",146.081677,-38.692875
VIC,Golden Beach,Golden Beach Community Hall,Gippsland South District,"1/11 Surf Edge Drive, Golden Beach, 3851",147.3995407,-38.21099926
VIC,Kilmany,Kilmany Public Hall,Gippsland South District,"21 Freshwaters Road, Kilmany, 3851",146.9134445,-38.10619957
VIC,Kongwak,Kongwak Primary School,Gippsland South District,"1445 Korumburra - Wonthaggi Road, Kongwak, 3996",145.71286,-38.51511
VIC,Koonwarra,Koonwarra Fire Station,Gippsland South District,"7 Koala Drive, Koonwarra, 3954",145.946592,-38.547624
VIC,Leongatha East,Leongatha Secondary College,Gippsland South District,"Nerrena Road, Leongatha, 3953",145.9573772,-38.47936633
VIC,Leongatha South,Leongatha South and District Community Centre,Gippsland South District,"Bass Highway, Leongatha South, 3953",145.880069,-38.529549
VIC,Loch,Loch Public Hall,Gippsland South District,"Smith Street, Loch, 3945",145.707341,-38.369791
VIC,Loch Sport,Loch Sport Public Hall,Gippsland South District,"National Park Road, Loch Sport, 3851",147.6006798,-38.03407814
VIC,Longford,Longford Primary School,Gippsland South District,"6380 South Gippsland Highway, Longford, 3851",147.08841,-38.16956
VIC,Mount Eccles,Mount Eccles Mechanics Institute,Gippsland South District,"Hall Road, Mount Eccles, 3953",145.97602,-38.363217
VIC,Nerrena,Nerrena Public Hall,Gippsland South District,"Nerrena Hall Road, Nerrena, 3953",145.9975787,-38.50920123
VIC,Foster,Foster Secondary College,Gippsland South District,"2 Pioneer Street, Foster, 3960",146.19741,-38.65174
VIC,Korumburra,St Paul's Anglican Parish Hall,Gippsland South District,"5 Bridge Street, Korumburra, 3950",145.822714,-38.435665
VIC,Sale East,Araluen Primary School,Gippsland South District,"99 Patten Street, Sale, 3850",147.0890362,-38.10770402
VIC,Nyora,Nyora Primary School,Gippsland South District,"Grundy Avenue, Nyora, 3987",145.67489,-38.33624
VIC,Poowong,Poowong Consolidated School,Gippsland South District,"5 Gardner Lane, Poowong, 3988",145.7693853,-38.34230698
VIC,Port Albert,Port Albert Mechanics Institute,Gippsland South District,"20 Victoria Street, Port Albert, 3971",146.692171,-38.672392
VIC,Port Franklin,Port Franklin Public Hall,Gippsland South District,"Tramway Street, Port Franklin, 3964",146.2775883,-38.68349665
VIC,Rosedale,Rosedale Public Hall,Gippsland South District,"37 Prince Street, Rosedale, 3847",146.787029,-38.151595
VIC,Sale,Sale Memorial Hall,Gippsland South District,"82-88 MacAlister Street, Sale, 3850",147.067519,-38.109583
VIC,Staceys Bridge,Staceys Bridge Public Hall,Gippsland South District,"248 Albert River Road, Staceys Bridge, 3971",146.530113,-38.554993
VIC,Stradbroke,Stradbroke Hall,Gippsland South District,"4971 South Gippsland Highway, Stradbroke, 3851",147.036843,-38.281938
VIC,Tarwin Lower,Tarwin Lower Mechanics Institute,Gippsland South District,"27 River Drive, Tarwin Lower, 3956",145.86707,-38.699166
VIC,Toora,Toora Community Hall,Gippsland South District,"23 Gray Street, Toora, 3962",146.325227,-38.664003
VIC,Welshpool,Welshpool Fire Station,Gippsland South District,"40 Main Street, Welshpool, 3966",146.4392273,-38.6654425
VIC,Won Wron,Won Wron Public Hall,Gippsland South District,"Napier Road, Won Wron, 3971",146.717735,-38.473231
VIC,Woodside,Woodside Public Hall,Gippsland South District,"34 Prince Street, Woodside, 3874",146.8769964,-38.52746444
VIC,Wurruk,Wurruk Primary School,Gippsland South District,"13-19 Fisk Street, Wurruk, 3850",147.03995,-38.1068
VIC,Yanakie,Yanakie Public Hall,Gippsland South District,"2 Millar Road, Yanakie, 3960",146.2050852,-38.81160457
VIC,Yarram,Yarram Guide and Scout Hall,Gippsland South District,"2-4 Church Road, Yarram, 3971",146.677498,-38.555973
VIC,Moe Central,Baringa Special School,Narracan District,"47 Staff Street, Moe, 3825",146.2569164,-38.19210163
VIC,Bona Vista,Bona Vista Primary School,Narracan District,"Bona Vista Road, Bona Vista, 3820",145.9599099,-38.21051952
VIC,Buln Buln,Buln Buln Primary School,Narracan District,"15 Old Sale Road, Buln Buln, 3821",145.93817,-38.09935
VIC,Bunyip,Bunyip Hall,Narracan District,"45 Main Street, Bunyip, 3815",145.721383,-38.098216
VIC,Cora Lynn,Cora Lynn Recreation Reserve Hall,Narracan District,"corner Nine Mile and Bunyip River Road, Cora Lynn, 3814",145.6069496,-38.14285024
VIC,Darnum,Darnum Primary School,Narracan District,"6 Graham Street, Darnum, 3822",145.9997,-38.18773
VIC,Drouin,Drouin Primary School,Narracan District,"153-161 Princes Way, Drouin, 3818",145.85384,-38.13286
VIC,Drouin College,Drouin Secondary College,Narracan District,"52 Main South Road, Drouin, 3818",145.8507518,-38.1449273
VIC,Drouin West,Drouin West Primary School,Narracan District,"535 Main Neerim Road, Drouin West, 3818",145.87172,-38.08711
VIC,Ellinbank,Ellinbank Primary School,Narracan District,"13 Community Place, Ellinbank, 3821",145.93563,-38.24023
VIC,Erica,Erica Memorial Hall,Narracan District,"14 School Road, Erica, 3825",146.371526,-37.978693
VIC,Garfield,Garfield Primary School,Narracan District,"84 Railway Avenue, Garfield, 3814",145.67408,-38.09026
VIC,Hill End,Hill End Mechanics Institute Hall,Narracan District,"2494 Willow Grove Road, Hill End, 3825",146.1445529,-38.00360911
VIC,Jindivick,Jindivick Primary School,Narracan District,"1080 Jacksons Track, Jindivick, 3818",145.901195,-38.02764
VIC,Labertouche,Labertouche Public Hall,Narracan District,"440 Labertouche North Road, Labertouche, 3816",145.806703,-38.048015
VIC,Mardan,Mardan Public Hall,Gippsland South District,"Coulters Road, Mardan, 3953",146.1114531,-38.4758881
VIC,Nar Nar Goon North,Nar Nar Goon North Public Hall,Narracan District,"corner Dore and Bessie Creek Roads, Nar Nar Goon North, 3812",145.555591,-38.01886
VIC,Narracan,Narracan Public Hall,Narracan District,"401 Narracan Connection Road, Narracan, 3824",146.2275252,-38.25943608
VIC,Neerim Junction,Neerim Junction Public Hall,Narracan District,"2957 Main Neerim Road, Neerim Junction, 3832",145.9612003,-37.9283167
VIC,Neerim South,Neerim South Primary School,Narracan District,"180 Main Neerim Road, Neerim South, 3831",145.9553639,-38.01530091
VIC,Nilma,Nilma Primary School,Narracan District,"76 Bloomfield Road, Nilma, 3821",145.97429,-38.16574
VIC,Noojee,Noojee Community Hall,Narracan District,"Henty Street, Noojee, 3833",145.997958,-37.892616
VIC,Rokeby,Rokeby Public Hall,Narracan District,"Brandy Creek Road, Rokeby, 3821",145.9268972,-38.07086252
VIC,Tetoora Road,Tetoora Road Community Centre,Narracan District,"2575 Warragul-Korumburra Road, Tetoora Road, 3821",145.8929984,-38.27111073
VIC,Thorpdale,Thorpdale Public Hall,Narracan District,"14 Johnstone Street, Thorpdale, 3835",146.17752,-38.287682
VIC,Trafalgar,Trafalgar Primary School,Narracan District,"84 School Road, Trafalgar, 3824",146.15987,-38.21476
VIC,Tynong,Tynong Public Hall,Narracan District,"18 Railway Avenue, Tynong, 3813",145.625749,-38.08438
VIC,Warragul North,Warragul North Primary School,Narracan District,"Balmoral Street, Warragul, 3820",145.93985,-38.14811
VIC,Yarragon,Yarragon Public Hall,Narracan District,"Campbell Street, Yarragon, 3823",146.0637376,-38.20499615
VIC,Willow Grove,Willow Grove Community Centre,Narracan District,"Moe-Willow Grove Road, Willow Grove, 3825",146.179635,-38.07295554
VIC,Caramut,Caramut War Memorial Hall,South-West Coast District,"Brown Street, Caramut, 3274",142.519736,-37.956903
VIC,Condah,Condah Hall,South-West Coast District,"5162 Henty Highway, Condah, 3303",141.746916,-37.955218
VIC,Gorae West,Gorae West Hall,South-West Coast District,"Portland-Nelson Road, Gorae West, 3305",141.476642,-38.242663
VIC,Hawkesdale,Hawkesdale P-12 College,South-West Coast District,"corner Mitchell and Spring Streets, Hawkesdale, 3287",142.3191478,-38.10695676
VIC,Heywood,Heywood Community Complex,South-West Coast District,"Gorrie Street, Heywood, 3304",141.620702,-38.129329
VIC,Koroit,Koroit Senior Citizens Rooms,South-West Coast District,"102 High Street, Koroit, 3282",142.3676556,-38.29284731
VIC,Macarthur,Macarthur Primary School,South-West Coast District,"23 Russell Street, Macarthur, 3286",142.0006267,-38.03091846
VIC,Mailors Flat,Mailors Flat Hall,South-West Coast District,"Warrnambool-Caramut Road, Mailors Flat, 3275",142.473253,-38.290827
VIC,Naringal,Naringal Public Hall,South-West Coast District,"Cobden-Warrnambool Road, Naringal, 3277",142.6925583,-38.39650763
VIC,Nelson,Nelson Community Centre,South-West Coast District,"Leake Street, Nelson, 3292",141.0062744,-38.04794967
VIC,Orford,Orford Memorial Hall,South-West Coast District,"High Street, Orford, 3284",142.0991625,-38.20337568
VIC,Nar Nar Goon,Nar Nar Goon Community Centre,Narracan District,"Spencer Street, Nar Nar Goon, 3812",145.5740814,-38.08312338
VIC,Baxter,Baxter Primary School,Hastings District,"120 Grant Road, Baxter, 3911",145.18075,-38.199411
VIC,Beaconsfield,Beaconsfield Primary School,Gembrook District,"corner Old Princes Highway and Lyle Avenue, Beaconsfield, 3807",145.3723956,-38.04801077
VIC,Beaconsfield Upper,Beaconsfield Upper Primary School,Gembrook District,"40-42 Stoney Creek Road, Beaconsfield Upper, 3808",145.4151568,-37.99511374
VIC,Berwick,Berwick Secondary College,Gembrook District,"65 Manuka Road, Berwick, 3806",145.3630391,-38.03074393
VIC,Bittern,Bittern Primary School,Hastings District,"Portsmouth Road, Bittern, 3918",145.17168,-38.33986
VIC,Blind Bight,Blind Bight Community Centre,Hastings District,"Anchorage Drive, Blind Bight, 3980",145.339835,-38.21689
VIC,Croydon North,Brushy Creek Hall,"Croydon District, Evelyn District","435 Maroondah Highway, Croydon North, 3136",145.297425,-37.76827
VIC,Cape Paterson,Cape Paterson Community Hall,Bass District,"567 Cape Paterson Road, Cape Paterson, 3995",145.6214192,-38.66968824
VIC,Catani,Catani Recreation Reserve,Bass District,"55 Taplins Road, Catani, 3981",145.6395079,-38.1946817
VIC,Chirnside Park,Chirnside Park Primary School,Evelyn District,"66 Kimberley Drive, Chirnside Park, 3116",145.3122878,-37.7499586
VIC,Cockatoo,Cockatoo Community Complex,Gembrook District,"95 Pakenham Road, Cockatoo, 3871",145.491093,-37.936979
VIC,Coldstream,Coldstream Community Centre,Evelyn District,"Kelso Street, Coldstream, 3770",145.3820789,-37.733372
VIC,Corinella,Corinella Public Hall,Bass District,"38-44 Smythe Street, Corinella, 3984",145.433271,-38.4143
VIC,Cowes,Cowes Primary School,Bass District,"177 Settlement Road, Cowes, 3922",145.24131,-38.45628
VIC,Cranbourne South,Cranbourne South Primary School,"Hastings District, Cranbourne District","239 Pearcedale Road, Cranbourne South, 3977",145.24508,-38.14839
VIC,Crib Point,Crib Point Primary School,Hastings District,"70 Milne Street, Crib Point, 3919",145.20054,-38.36048
VIC,Devon Meadows,Devon Meadows Community Hall,Hastings District,"corner Worthing and Cross Roads, Devon Meadows, 3977",145.302095,-38.162368
VIC,Langwarrin,Elisabeth Murdoch College,Hastings District,"80 Warrandyte Road, Langwarrin, 3910",145.19018,-38.15929
VIC,Gembrook,Gembrook Primary School,Gembrook District,"50 Main Road, Gembrook, 3783",145.5456155,-37.95123454
VIC,Grantville,Grantville Hall,Bass District,"Bass Highway, Grantville, 3984",145.5312856,-38.40418822
VIC,Gruyere,Gruyere Primary School,Evelyn District,"99 Killara Road, Gruyere, 3770",145.45039,-37.73409
VIC,Harkaway,Harkaway Primary School,"Gembrook District, Narre Warren North District","65-67 King Road, Harkaway, 3806",145.3453,-38.00104
VIC,Inverloch,Inverloch Community Hub,Bass District,"16 A'Beckett Street, Inverloch, 3996",145.72789,-38.633414
VIC,Kilcunda,Kilcunda Community Centre,Bass District,"3513-3515 Bass Highway, Kilcunda, 3995",145.475033,-38.548637
VIC,Koo Wee Rup,Koo Wee Rup Community Centre,Bass District,"Rossiter Road, Koo Wee Rup, 3981",145.4874677,-38.19969465
VIC,Lakeside East,Lakeside Lutheran College,Bass District,"2 Portobello Road, Pakenham, 3810",145.4556237,-38.06529082
VIC,Lang Lang,Lang Lang Primary School,Bass District,"52 Westernport Road, Lang Lang, 3984",145.5696633,-38.2631296
VIC,Langwarrin Park,Langwarrin Park Primary School,Hastings District,"Northgateway , Langwarrin, 3910",145.2024562,-38.15084727
VIC,Langwarrin Hall,Langwarrin Public Hall,Hastings District,"Cranbourne-Frankston Road, Langwarrin, 3910",145.191818,-38.15161
VIC,Lilydale West,Lilydale West Primary School,Evelyn District,"Bowen Road, Lilydale, 3140",145.336687,-37.755603
VIC,Manchester,Manchester Primary School,"Evelyn District, Croydon District","Monomeith Street, Mooroolbark, 3138",145.3099477,-37.7712214
VIC,Newhaven,Newhaven Community Hall,Bass District,"23 Cleeland Street, Newhaven, 3925",145.358195,-38.513363
VIC,Officer,Officer Primary School,Gembrook District,"13-23 Tivendale Road, Officer, 3809",145.409868,-38.05817654
VIC,Pakenham,Pakenham Secondary College,Bass District,"1020 Princes Highway, Pakenham, 3810",145.4712691,-38.07180142
