ec_id,name,divisions,premises,address,lat,lon,state,wheelchair_access,wheelchair_access_description
,Thurgoona Public School,Albury,Thurgoona Public School,"11 Bottlebrush Street, Thurgoona 2640",-36.0470860,146.9832520,NSW,Full,
,Armidale City Public School,Armidale,Armidale City Public School,"142-152 Faulkner Street, Armidale 2350",-30.5199210,151.6645530,NSW,Assisted,No accessible toilet; No designated accessible parking spot
,Armidale Town Hall,Armidale,Armidale Town Hall,"127 Rusden Street, Armidale 2350",-30.5147090,151.6663260,NSW,Full,
,Ben Venue Public School,Armidale,Ben Venue Public School,"83-103 Erskine Street, Armidale 2350",-30.5032060,151.6748110,NSW,Assisted,No designated accessible parking spot
,Black Mountain Public School,Armidale,Black Mountain Public School,"815 Black Mountain Road, Black Mountain 2365",-30.3088260,151.6579430,NSW,Assisted,Building has lips and/or steps; No designated accessible parking spot; No accessible toilet; Path of travel from car park may be difficult; Access ramp does not meet standards
,Dangarsleigh School of Arts Hall,Armidale,Dangarsleigh School of Arts Hall,"874 Dangarsleigh Road, Dangarsleigh 2350",-30.6022506,151.6796369,NSW,Assisted,No designated accessible parking spot
,Drummond Memorial Public School,"Armidale, Uralla",Drummond Memorial Public School,"Rusden Street, Armidale 2350",-30.5108410,151.6509610,NSW,Assisted,No accessible toilet
,Ebor Public School,Armidale,Ebor Public School,"Waterfall Way, Ebor 2453",-30.4030890,152.3494870,NSW,Assisted,No accessible toilet; No designated accessible parking spot; Path of travel from car park may be difficult
,Guyra Community Hall,Armidale,Guyra Community Hall,"Guyra Showground, Dutton Parade, Guyra 2365",-30.2195233,151.6767017,NSW,Assisted,No designated accessible parking spot
,Newling Public School,Armidale,Newling Public School,"80 Chapel Street, Armidale 2350",-30.5230070,151.6761250,NSW,Full,
,Ballina Coast High School,Ballina,Ballina Coast High School,"Swift Street, Ballina 2478",-28.8675410,153.5644650,NSW,Assisted,No designated accessible parking spot; No accessible toilet; Building has lips and/or steps
,Empire Vale Public School,Ballina,Empire Vale Public School,"River Drive, Empire Vale 2478",-28.9152280,153.5055280,NSW,Full,
,Replenish Church Ballina,Ballina,Replenish Church Ballina,"54 Kalinga Street, West Ballina 2478",-28.8643470,153.5387520,NSW,None,
,Southern Cross Public School,Ballina,Southern Cross Public School,"2-40 Chickiba Drive, Ballina East 2478",-28.8507470,153.5869450,NSW,Full,
,Teven-Tintenbar Public School,Ballina,Teven-Tintenbar Public School,"28 Fredericks Lane, Tintenbar 2478",-28.7948960,153.5006790,NSW,Assisted,No designated accessible parking spot
,The Richmond Room Ballina,Ballina,The Richmond Room Ballina,"5 Regatta Avenue, Ballina 2478",-28.8729150,153.5648270,NSW,Full,
,Lennox Head Community Hall,Ballina,Lennox Head Community Hall,"7 Daybreak Way, (off Huntley Drive), Lennox Head 2478",-28.8067490,153.5810280,NSW,Full,
,Newrybar Community Hall,"Ballina, Byron",Newrybar Community Hall,"13-15 Old Pacific Highway, Newrybar 2477",-28.7215700,153.5300590,NSW,Assisted,No designated accessible parking spot
,Alstonville High School,Ballina,Alstonville High School,"19 Cawley Close, Alstonville 2477",-28.8401790,153.4338980,NSW,Full,
,Meerschaum Vale Hall,Ballina,Meerschaum Vale Hall,"Marom Creek Road, Meerschaum Vale 2477",-28.9118540,153.4363940,NSW,Assisted,No designated accessible parking spot; No accessible toilet; Path of travel from car park may be difficult; Building has lips and/or steps
,Rous Public School,Ballina,Rous Public School,"Rous Road, Alstonville 2477",-28.8707200,153.4065790,NSW,Assisted,No designated accessible parking spot; No accessible toilet; Door width less than 850mm but more than 740mm
,Wardell Memorial Hall,Ballina,Wardell Memorial Hall,"43 Richmond Street, Wardell 2477",-28.9519990,153.4665150,NSW,Full,
,Wollongbar Public School,Ballina,Wollongbar Public School,"Simpson Avenue, Wollongbar 2477",-28.8269890,153.4200880,NSW,Full,
,Balranald Central School,Balranald,Balranald Central School,"We Street, Balranald 2715",-34.6360510,143.5637560,NSW,Assisted,No designated accessible parking spot; No accessible toilet
,Euston Public School,Balranald,Euston Public School,"Murray Terrace, Euston 2737",-34.5755330,142.7448010,NSW,Assisted,No designated accessible parking spot; No accessible toilet
,Bathurst Public School,Bathurst,Bathurst Public School,"Lambert Street, Bathurst 2795",-33.4214760,149.5710440,NSW,Assisted,Path of travel from car park may be difficult; No accessible toilet
,Bathurst South Public School,Bathurst,Bathurst South Public School,"251 Havannah Street, Bathurst 2795",-33.4335180,149.5692980,NSW,Assisted,Path of travel from car park may be difficult
,Bathurst West Public School,Bathurst,Bathurst West Public School,"Suttor Street, Bathurst 2795",-33.4111530,149.5588960,NSW,Assisted,Access ramp does not meet standards; No accessible toilet; Path of travel from car park may be difficult
,Catholic Parish Centre Bathurst,Bathurst,Catholic Parish Centre Bathurst,"Keppel Street, Bathurst 2795",-33.4198900,149.5768670,NSW,Assisted,No accessible toilet
,Denison College Bathurst High Campus,Bathurst,Denison College Bathurst High Campus,"Piper Street, Bathurst 2795",-33.4135080,149.5689450,NSW,Assisted,No accessible toilet; No designated accessible parking spot; Path of travel from car park may be difficult
,Eglinton Public School,Bathurst,Eglinton Public School,"Alexander Street, Eglinton 2795",-33.3775090,149.5393930,NSW,Assisted,No designated accessible parking spot; Building has lips and/or steps
,Hill End Public School,Bathurst,Hill End Public School,"Tambaroora Street, Hill End 2850",-33.0344180,149.4160160,NSW,None,
,Kelso Public School,Bathurst,Kelso Public School,"Barina Parkway, Kelso 2795",-33.4168300,149.6049160,NSW,Full,
,O'Connell Public School,"Oberon, Bathurst",O'Connell Public School,"15 Blacks Mill Lane, O'Connell 2795",-33.5242570,149.7198890,NSW,None,
,Perthville Public School,Bathurst,Perthville Public School,"Rockley Street, Perthville 2795",-33.4909760,149.5494470,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
,Raglan Public School,Bathurst,Raglan Public School,"Nelson Street, Raglan 2795",-33.4285150,149.6472540,NSW,Assisted,No accessible toilet; Path of travel from car park may be difficult; Building has lips and/or steps; No designated accessible parking spot
,Rockley Public School,Bathurst,Rockley Public School,"34 Hill Street, Rockley 2795",-33.6917400,149.5627740,NSW,None,
,St Stephens Presbyterian Church Bathurst,Bathurst,St Stephens Presbyterian Church Bathurst,"Howick Street, Bathurst 2795",-33.4163120,149.5799160,NSW,Assisted,No accessible toilet; Building has lips and/or steps; Path of travel from car park may be difficult; Access ramp does not meet standards
,The Old School,Bathurst,The Old School,"8 West Street, Peel 2795",-33.3090780,149.6345010,NSW,None,
,Trunkey Public School,Bathurst,Trunkey Public School,"Carlyle Street, Trunkey Creek 2795",-33.8163910,149.3267140,NSW,None,
,Wattle Flat Public School,Bathurst,Wattle Flat Public School,"3807 Sofala Road, Wattle Flat 2795",-33.1416270,149.6925580,NSW,Assisted,Building has lips and/or steps; Door width less than 850mm but more than 740mm; No designated accessible parking spot; No accessible toilet
,Yetholme Community Hall,Bathurst,Yetholme Community Hall,"32 Porters Lane, Yetholme 2795",-33.4478630,149.8176250,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult; Building has lips and/or steps; Access ramp does not meet standards
,Banksmeadow Public School,Bayside,Banksmeadow Public School,"Trevelyan street, Banksmeadow 2019",-33.9530984,151.2069831,NSW,Full,
,Beckenham Mascot Uniting Church Hall,Bayside,Beckenham Mascot Uniting Church Hall,"40 King Street, Eastlakes 2018",-33.9316950,151.2079280,NSW,Assisted,Building has lips and/or steps; No accessible toilet; Path of travel from car park may be difficult
,Botany Public School,Bayside,Botany Public School,"1076 Botany Road, Botany 2019",-33.9428250,151.1952070,NSW,Full,
,Daceyville Public School,"Bayside, Randwick",Daceyville Public School,"Joffre Crescent, Daceyville 2032",-33.9290090,151.2280610,NSW,Assisted,Path of travel from car park may be difficult
,J J Cahill Memorial High School,Bayside,J J Cahill Memorial High School,"Sutherland Street, Mascot 2020",-33.9278440,151.2008080,NSW,Assisted,No accessible toilet
,Maroubra Senior Citizens Centre,"Bayside, Randwick",Maroubra Senior Citizens Centre,"6 Alma Road, Maroubra 2035",-33.9391640,151.2397850,NSW,Full,
,Mascot Public School,Bayside,Mascot Public School,"King Street, Mascot 2020",-33.9293070,151.1932490,NSW,Full,
,Matraville Baptist Church,"Bayside, Randwick",Matraville Baptist Church,"1 Australia Avenue, Matraville 2036",-33.9627032,151.2310874,NSW,Assisted,Building has lips and/or steps; No accessible toilet; No designated accessible parking spot
,Matraville Public School,"Bayside, Randwick",Matraville Public School,"Bunnerong Road, Matraville 2036",-33.9545630,151.2298790,NSW,Assisted,No accessible toilet
,Pagewood Public School,Bayside,Pagewood Public School,"60 Page Street, Botany 2019",-33.9419180,151.2138160,NSW,Full,
,Rockdale Town Hall,Bayside,Rockdale Town Hall,"Bryant Street, Rockdale 2216",-33.9505807,151.1393169,NSW,Full,
,South Sydney High School,"Bayside, Randwick",South Sydney High School,"Paine Street, Maroubra 2035",-33.9444430,151.2357650,NSW,Assisted,No designated accessible parking spot; No accessible toilet
,The Alf Kay Eastlakes Community Hall,Bayside,The Alf Kay Eastlakes Community Hall,"Florence Avenue, Eastlakes 2018",-33.9258960,151.2145950,NSW,Full,
,Arncliffe Public School,Bayside,Arncliffe Public School,"Segenhoe Street, Arncliffe 2205",-33.9409970,151.1481350,NSW,Full,
,Arncliffe West Infants School,Bayside,Arncliffe West Infants School,"7 Loftus Street, Turrella 2205",-33.9322340,151.1449030,NSW,Assisted,Path of travel from car park may be difficult
,Athelstane Public School,Bayside,Athelstane Public School,"Wollongong Road, Arncliffe 2205",-33.9376950,151.1385280,NSW,None,
,Coronation Hall Arncliffe,Bayside,Coronation Hall Arncliffe,"23 Barden Street, Arncliffe 2205",-33.9380870,151.1443160,NSW,Full,
,Gardeners Road Public School,"Sydney, Bayside",Gardeners Road Public School,"827 Botany Road, Rosebery 2018",-33.9214460,151.1977130,NSW,Full,
,Mascot Senior Citizens Hall,Bayside,Mascot Senior Citizens Hall,"Aloha Street, Mascot 2020",-33.9256290,151.1936820,NSW,Assisted,Building has lips and/or steps; No designated accessible parking spot; No accessible toilet; Access ramp does not meet standards
,Rockdale Uniting Church Hall,Bayside,Rockdale Uniting Church Hall,"3-9 Bay Street, Rockdale 2216",-33.9533910,151.1383750,NSW,Assisted,Building has lips and/or steps; Path of travel from car park may be difficult; No designated accessible parking spot
,AS Tanner Hall ( formerly St George Archers Hall ),Bayside,AS Tanner Hall ( formerly St George Archers Hall ),"Burlington Street, Monterey 2217",-33.9721720,151.1459880,NSW,Assisted,No accessible toilet; Path of travel from car park may be difficult
,Bardwell Park Infants School,Bayside,Bardwell Park Infants School," 4 Crewe Lane, Bardwell Park 2207",-33.9335010,151.1253380,NSW,None,
,Bexley North Public School,Bayside,Bexley North Public School,"Wilkinson Road, Bexley North 2207",-33.9406160,151.1188080,NSW,Assisted,No designated accessible parking spot
,Bexley Public School,Bayside,Bexley Public School,"330-354 Forest Road, Bexley 2207",-33.9471470,151.1282070,NSW,Full,
,Brighton-Le-Sands Public School,Bayside,Brighton-Le-Sands Public School,"35 Crawford Road, Brighton-Le-Sands 2216",-33.9625430,151.1499450,NSW,Full,
,Kogarah High School,"Bayside, Georges River",Kogarah High School,"Gladstone Street, Kogarah 2217",-33.9610840,151.1345360,NSW,Assisted,Path of travel from car park may be difficult
,Kyeemagh Infants School,Bayside,Kyeemagh Infants School,"Beehag Street, Kyeemagh 2216",-33.9494680,151.1618550,NSW,Assisted,No designated accessible parking spot
,Rockdale Public School,Bayside,Rockdale Public School,"Lord Street, Rockdale 2216",-33.9524320,151.1421890,NSW,Assisted,Path of travel from car park may be difficult; Building has lips and/or steps; No designated accessible parking spot
,St George School,Bayside,St George School,"2A Marshall Street, Kogarah 2217",-33.9692940,151.1383140,NSW,Full,
,St Joseph's Parish Centre Rockdale,Bayside,St Joseph's Parish Centre Rockdale,"6 Parker Street, Rockdale 2216",-33.9511760,151.1350260,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
,Carlton Public School,Bayside,Carlton Public School,"60 Cameron Street, Bexley 2207",-33.9635040,151.1229390,NSW,Full,
,Carlton-Kogarah Baptist Church,Bayside,Carlton-Kogarah Baptist Church,"Durham Street, Carlton 2218",-33.9636859,151.1201392,NSW,None,
,Kingsgrove Bexley North Community Centre,Bayside,Kingsgrove Bexley North Community Centre,"54A Shaw Street, Bexley North 2207",-33.9384310,151.1087530,NSW,Assisted,No designated accessible parking spot; Door width less than 850mm but more than 740mm
,Kingsgrove Community Aid Centre Inc,"Bayside, Georges River",Kingsgrove Community Aid Centre Inc,"30 Morgan Street, Kingsgrove 2208",-33.9432590,151.0985050,NSW,Full,
,Kingsgrove High School,"Bayside, Georges River",Kingsgrove High School,"Kingsgrove Road, Kingsgrove 2208",-33.9479520,151.1023550,NSW,Assisted,Path of travel from car park may be difficult
,Kogarah Senior Citizens Centre,Bayside,Kogarah Senior Citizens Centre,"Taylor Street, Kogarah 2217",-33.9638310,151.1315020,NSW,Full,
,St Gabriel's School Bexley,Bayside,St Gabriel's School Bexley,"39 Highgate Street, Bexley 2207",-33.9479646,151.1217841,NSW,Assisted,Path of travel from car park may be difficult; No designated accessible parking spot; Access ramp does not meet standards
,Sydney Technical High School,Bayside,Sydney Technical High School,"686 Forest Road, Bexley 2207",-33.9620240,151.1142680,NSW,Assisted,No accessible toilet; Building has lips and/or steps
,West Bexley Uniting Church Hall,Bayside,West Bexley Uniting Church Hall,"80A St Georges Road, Bexley 2207",-33.9521350,151.1136250,NSW,Full,
,Sans Souci Community Pre-School,Bayside,Sans Souci Community Pre-School,"95 Clareville Avenue, Sandringham 2219",-33.9992340,151.1389060,NSW,Assisted,No designated accessible parking spot
,Sans Souci Literary Institute,"Bayside, Georges River",Sans Souci Literary Institute,"107 Ramsgate Road, Ramsgate 2219",-33.9845560,151.1376650,NSW,Assisted,No designated accessible parking spot
,Sans Souci Public School,"Bayside, Georges River",Sans Souci Public School,"413 Rocky Point Road, Sans Souci 2219",-33.9949860,151.1300030,NSW,Full,
,St Marks Anglican Church Hall Brighton-Le-Sands,Bayside,St Marks Anglican Church Hall Brighton-Le-Sands,"1-3 Trafalgar Street, Brighton-Le-Sands 2216",-33.9606870,151.1538480,NSW,None,
,Syd Frost Memorial Hall,Bayside,Syd Frost Memorial Hall,"Hawthorne Street, Ramsgate 2217",-33.9795290,151.1426790,NSW,None,
,Bega Valley Civic Centre,Bega Valley,Bega Valley Civic Centre,"1 Zingel Place, Bega 2550",-36.6757790,149.8418385,NSW,Full,
,Bega Valley Public School,Bega Valley,Bega Valley Public School,"27 Auckland Street, Bega 2550",-36.6708110,149.8411020,NSW,Full,
,Bemboka Memorial Hall,Bega Valley,Bemboka Memorial Hall,"Adams Street, Bemboka 2550",-36.6261350,149.5678520,NSW,Assisted,No designated accessible parking spot
,Bermagui Indoor Sports Stadium,Bega Valley,Bermagui Indoor Sports Stadium,"20-22 Bunga Street, Bermagui 2546",-36.4287153,150.0758622,NSW,Assisted,No designated accessible parking spot
,Brogo Public Hall,Bega Valley,Brogo Public Hall,"Princes Highway, Brogo 2550",-36.5729840,149.8235660,NSW,Assisted,Building has lips and/or steps; No designated accessible parking spot; Path of travel from car park may be difficult
,Candelo Town Hall,Bega Valley,Candelo Town Hall,"William Street, Candelo 2550",-36.7662770,149.6956200,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
,Cobargo School Of Arts,Bega Valley,Cobargo School Of Arts,"Bermagui Road, Cobargo 2550",-36.3888320,149.8892430,NSW,Assisted,No accessible toilet; No designated accessible parking spot; Path of travel from car park may be difficult
,Eden Marine High School,Bega Valley,Eden Marine High School,"Barclay Street, Eden 2551",-37.0559970,149.9068070,NSW,Assisted,No accessible toilet
,Merimbula Public School,Bega Valley,Merimbula Public School,"Randolph Street, Merimbula 2548",-36.8870270,149.9168050,NSW,Assisted,No designated accessible parking spot
,Pambula Public School,Bega Valley,Pambula Public School,"25 Oregon Street, Pambula 2549",-36.9256060,149.8718750,NSW,Assisted,No designated accessible parking spot; No accessible toilet; Access ramp does not meet standards
,Quaama School Of Arts,Bega Valley,Quaama School Of Arts,"Cobargo Street, Quaama 2550",-36.4650620,149.8681330,NSW,Assisted,No designated accessible parking spot; No accessible toilet; Path of travel from car park may be difficult
,Tanja Hall,Bega Valley,Tanja Hall,"Barabooka Road, Tanja 2550",-36.6397127,149.9751611,NSW,Assisted,Access ramp does not meet standards; No accessible toilet; No designated accessible parking spot; Path of travel from car park may be difficult
,Tathra Public School,Bega Valley,Tathra Public School,"Bega Street, Tathra 2550",-36.7327830,149.9792850,NSW,Full,
,Towamba Public School,Bega Valley,Towamba Public School,"Towamba Street, Towamba 2550",-37.0847460,149.6949590,NSW,Assisted,Access ramp does not meet standards; Building has lips and/or steps; No accessible toilet; No designated accessible parking spot; Path of travel from car park may be difficult
,Tura Marrang Library& Community Centre,Bega Valley,Tura Marrang Library& Community Centre,"15 Tura Beach Drive, Tura Beach 2548",-36.8645060,149.9161370,NSW,Assisted,Access ramp does not meet standards
,Wolumla Memorial Hall,Bega Valley,Wolumla Memorial Hall,"1 Scott Street, Wolumla 2550",-36.8340110,149.8092250,NSW,Assisted,Access ramp does not meet standards; Path of travel from car park may be difficult; Building has lips and/or steps
,Wyndham Public School,Bega Valley,Wyndham Public School,"Monaro Street, Wyndham 2550",-36.9293130,149.6465060,NSW,Assisted,No designated accessible parking spot; No accessible toilet; Access ramp does not meet standards
,Bellingen Anglican Church Hall,Bellingen,Bellingen Anglican Church Hall,"Oak Street, Bellingen 2454",-30.4517250,152.8948420,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
,Dorrigo Community Hall,Bellingen,Dorrigo Community Hall,"36 Hickory Street, Dorrigo 2453",-30.3393550,152.7117065,NSW,Full,
,Gleniffer School of Arts Hall,Bellingen,Gleniffer School of Arts Hall,"8 Promised Land Road, Gleniffer 2454",-30.3882970,152.8841510,NSW,Assisted,No designated accessible parking spot; No accessible toilet; Path of travel from car park may be difficult; Access ramp does not meet standards; Building has lips and/or steps
,Mylestom Community Hall,Bellingen,Mylestom Community Hall,"River Street, Mylestom 2454",-30.4638410,153.0430890,NSW,Full,
,Raleigh Public School,Bellingen,Raleigh Public School,"12 North Street, Raleigh 2454",-30.4497200,153.0126360,NSW,None,
,Thora Community Hall,Bellingen,Thora Community Hall,"1 Darkwood Road, Thora 2454",-30.4256990,152.7778820,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult; Building has lips and/or steps
,Urunga Public School,Bellingen,Urunga Public School,"Bonville Street, Urunga 2455",-30.4948820,153.0208680,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult; No accessible toilet
,Barooga Public School,Berrigan,Barooga Public School,"Hay Street, Barooga 3644",-35.9126930,145.6961130,NSW,Assisted,No designated accessible parking spot
,Berrigan Public School,Berrigan,Berrigan Public School,"25-29 Momalong Street, Berrigan 2712",-35.6589520,145.8151980,NSW,Assisted,Path of travel from car park may be difficult
,Finley High School,Berrigan,Finley High School,"Tocumwal Street, Finley 2713",-35.6397350,145.5720710,NSW,Assisted,No accessible toilet; No designated accessible parking spot; Path of travel from car park may be difficult; Building has lips and/or steps
,Tocumwal War Memorial Hall,Berrigan,Tocumwal War Memorial Hall,"50-54 Deniliquin Street, Tocumwal 2714",-35.8118116,145.5666916,NSW,Assisted,Access ramp does not meet standards
,Barnier Public School,Blacktown,Barnier Public School,"120 Barnier Drive, Quakers Hill 2763",-33.7202080,150.9025060,NSW,Assisted,Path of travel from car park may be difficult; Access ramp does not meet standards
,"Bowman Hall, Blacktown Civic Centre",Blacktown,"Bowman Hall, Blacktown Civic Centre","35 Campbell Street, Blacktown 2148",-33.7716540,150.9091420,NSW,Assisted,No designated accessible parking spot
,Caddies Creek Public School,Blacktown,Caddies Creek Public School,"Glenwood Park Drive, Glenwood 2768",-33.7365010,150.9275130,NSW,Full,
,Galungara Public School,Blacktown,Galungara Public School,"95 Farmland Drive, Schofields 2762",-33.7007310,150.8813090,NSW,Full,
,Hambledon Public School,Blacktown,Hambledon Public School,"Bali Drive, Quakers Hill 2763",-33.7169560,150.8878960,NSW,Assisted,Path of travel from car park may be difficult; No accessible toilet
,Kellyville Ridge Public School,Blacktown,Kellyville Ridge Public School,"Greenwich Street, Kellyville Ridge 2155",-33.7059220,150.9241180,NSW,Assisted,No designated accessible parking spot
,Parklea Public School,Blacktown,Parklea Public School,"Glenwood Park Drive, Glenwood 2768",-33.7266330,150.9353480,NSW,Full,
,Quakers Hill East Public School,Blacktown,Quakers Hill East Public School,"Chase Drive, Acacia Gardens 2763",-33.7327330,150.9132470,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
,Quakers Hill High School,Blacktown,Quakers Hill High School,"70 Lalor Road, Quakers Hill 2763",-33.7281430,150.8964420,NSW,Assisted,Path of travel from car park may be difficult; Building has lips and/or steps
,Riverbank Public School,Blacktown,Riverbank Public School,"25 Wentworth Street, The Ponds 2769",-33.7040020,150.8988720,NSW,Assisted,Path of travel from car park may be difficult
,Riverstone High School,Blacktown,Riverstone High School,"71 McCulloch Street, Riverstone 2765",-33.6803860,150.8752550,NSW,Assisted,Building has lips and/or steps; Path of travel from car park may be difficult
,Riverstone Senior Citizens Hall,Blacktown,Riverstone Senior Citizens Hall,"Park Street, Riverstone 2765",-33.6765740,150.8624640,NSW,Full,
,Rouse Hill Anglican Church,"The Hills, Blacktown",Rouse Hill Anglican Church,"Cnr Mile End Road and Adelphi Street, Rouse Hill 2155",-33.6834010,150.9175080,NSW,Full,
,Schofields Public School,Blacktown,Schofields Public School,"Junction Road, Schofields 2762",-33.6921530,150.8746340,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
,Stanhope Gardens Leisure Centre,Blacktown,Stanhope Gardens Leisure Centre,"Sentry Drive, Stanhope Gardens 2768",-33.7190300,150.9218400,NSW,Full,
,The Lake Neighbourhood Centre,Blacktown,The Lake Neighbourhood Centre,"Camomille Street, The Ponds 2769",-33.6961720,150.9141801,NSW,Full,
,The Ponds Community Hub,Blacktown,The Ponds Community Hub,"45 Riverbank Drive, The Ponds 2769",-33.7055518,150.9103139,NSW,Full,
,Windsor Country Village,"The Hills, Blacktown, Hawkesbury",Windsor Country Village,"7 Bandon Road, Vineyard 2765",-33.6467620,150.8554560,NSW,Full,
,Blacktown Boys High School,Blacktown,Blacktown Boys High School,"Fifth Avenue, Blacktown 2148",-33.7616980,150.9120830,NSW,None,
,Blacktown Christian Reformed Church,Blacktown,Blacktown Christian Reformed Church,"240 Richmond Road, Woodcroft 2767",-33.7494570,150.8823950,NSW,Full,
,Glenwood Community Hub,Blacktown,Glenwood Community Hub,"72 Glenwood Park Drive, Glenwood 2768",-33.7334007,150.9282743,NSW,Full,
,Glenwood High School,Blacktown,Glenwood High School,"Forman Avenue, Glenwood 2768",-33.7330190,150.9369000,NSW,Assisted,Path of travel from car park may be difficult; No designated accessible parking spot
,Jim Southee Community Centre,Blacktown,Jim Southee Community Centre,"James Cook Drive, Kings Langley 2147",-33.7431840,150.9245770,NSW,Assisted,Building has lips and/or steps; Path of travel from car park may be difficult
,Kings Langley Public School,Blacktown,Kings Langley Public School,"68 Isaac Smith Parade, Kings Langley 2147",-33.7454090,150.9245780,NSW,Assisted,Access ramp does not meet standards
,Kings Park Community Church,Blacktown,Kings Park Community Church,"1/13 Turbo Rd, Kings Park 2148",-33.7437610,150.9044670,NSW,Full,
,Lalor Park Public School,Blacktown,Lalor Park Public School,"Heffron Road, Lalor Park 2147",-33.7600510,150.9321210,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
,Lynwood Park Public School,Blacktown,Lynwood Park Public School,"87 Turner Street, Blacktown 2148",-33.7545010,150.9255640,NSW,Assisted,Path of travel from car park may be difficult
,Marayong Heights Public School,Blacktown,Marayong Heights Public School,"Guerie Street, Marayong 2148",-33.7417040,150.8970370,NSW,Assisted,Path of travel from car park may be difficult
,Marayong Public School,Blacktown,Marayong Public School,"Davis Road, Marayong 2148",-33.7569590,150.8953550,NSW,Full,
,Quakers Hill Public School,Blacktown,Quakers Hill Public School,"Medlow Drive, Quakers Hill 2763",-33.7374540,150.8850090,NSW,Full,
,Seven Hills Community Centre,Blacktown,Seven Hills Community Centre,"5 Artillery Crescent, Seven Hills 2147",-33.7720710,150.9362730,NSW,Full,
,Seven Hills High School,Blacktown,Seven Hills High School,"Johnson Avenue, Seven Hills 2147",-33.7638980,150.9433620,NSW,Assisted,No accessible toilet; Path of travel from car park may be difficult
,Seven Hills North Public School,Blacktown,Seven Hills North Public School,"45 Beethoven Street, Seven Hills 2147",-33.7607920,150.9550110,NSW,Assisted,Path of travel from car park may be difficult
,Seven Hills West Public School,Blacktown,Seven Hills West Public School,"Lucas Road, Seven Hills 2147",-33.7667850,150.9217840,NSW,Full,
,St Andrews Primary School Marayong,Blacktown,St Andrews Primary School Marayong,"36 Breakfast Road, Marayong 2148",-33.7481910,150.8892780,NSW,Full,
,Bert Oldfield Public School,Blacktown,Bert Oldfield Public School,"Oldfield Road, Seven Hills 2147",-33.7773120,150.9255580,NSW,Full,
,Blacktown South Public School,Blacktown,Blacktown South Public School,"183 Flushcombe Road, Blacktown 2148",-33.7806100,150.9061580,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult; No accessible toilet
,Blacktown West Public School,Blacktown,Blacktown West Public School,"Lancaster Street, Blacktown 2148",-33.7706520,150.8925110,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
